crash_fips,year,month,n_drivers,n_drink,sh_nonresident,sh_out_of_state,sh_home_dry,sh_nonresident_drink,sh_home_dry_drink
05001,2008,11,4,0,0.5,0.0,0.0,,
05001,2009,3,4,0,0.5,0.25,0.0,,
05001,2009,4,1,0,0.0,0.0,0.0,,
05001,2009,6,2,1,0.5,0.0,0.0,1.0,0.0
05001,2009,11,1,0,0.0,0.0,0.0,,
05001,2010,8,1,0,0.0,0.0,0.0,,
05001,2010,9,1,1,0.0,0.0,0.0,0.0,0.0
05001,2010,10,1,1,0.0,0.0,0.0,0.0,0.0
05001,2010,11,2,1,0.5,0.0,0.0,1.0,0.0
05001,2011,2,1,0,0.0,0.0,0.0,,
05001,2011,7,2,0,0.5,0.0,0.0,,
05001,2012,1,1,0,0.0,0.0,0.0,,
05001,2012,4,3,0,0.6666666666666667,0.0,0.3333333333333333,,
05001,2013,6,2,0,0.5,0.0,0.0,,
05001,2013,8,1,0,0.0,0.0,0.0,,
05001,2014,4,1,1,0.0,0.0,0.0,0.0,0.0
05001,2014,11,1,1,0.0,0.0,0.0,0.0,0.0
05001,2015,8,1,0,0.0,0.0,0.0,,
05001,2016,2,1,1,0.0,0.0,0.0,0.0,0.0
05001,2016,3,2,1,0.0,0.0,0.0,0.0,0.0
05001,2016,8,4,1,0.0,0.0,0.0,0.0,0.0
05001,2016,9,2,0,0.0,0.0,0.0,,
05001,2017,1,2,0,1.0,0.5,0.0,,
05001,2017,2,1,0,0.0,0.0,0.0,,
05001,2017,6,1,1,1.0,0.0,0.0,1.0,0.0
05001,2018,5,2,0,0.0,0.0,0.0,,
05001,2018,9,2,0,0.0,0.0,0.0,,
05001,2019,1,1,0,0.0,0.0,0.0,,
05001,2019,3,2,1,0.0,0.0,0.0,0.0,0.0
05001,2019,6,1,0,0.0,0.0,0.0,,
05001,2020,1,2,1,0.0,0.0,0.0,0.0,0.0
05001,2020,6,1,0,,,,,
05001,2020,9,1,0,1.0,0.0,0.0,,
05001,2020,11,1,1,1.0,0.0,0.0,1.0,0.0
05001,2021,3,1,1,1.0,0.0,0.0,1.0,0.0
05001,2021,5,1,0,0.0,0.0,0.0,,
05001,2021,9,4,1,0.0,0.0,0.0,0.0,0.0
05001,2022,6,1,0,0.0,0.0,0.0,,
05001,2022,9,2,1,0.5,0.0,0.0,0.0,0.0
05001,2022,10,1,0,0.0,0.0,0.0,,
05001,2022,11,2,0,1.0,0.0,0.0,,
05001,2023,2,1,1,0.0,0.0,0.0,0.0,0.0
05001,2023,7,2,0,1.0,0.0,0.5,,
05001,2023,10,1,0,1.0,0.0,0.0,,
05003,2008,2,1,1,0.0,0.0,1.0,0.0,1.0
05003,2008,5,2,2,0.0,0.0,1.0,0.0,1.0
05003,2008,6,1,0,1.0,0.0,0.0,,
05003,2008,12,1,0,0.0,0.0,1.0,,
05003,2009,2,2,0,0.5,0.5,1.0,,
05003,2009,6,2,0,0.5,0.5,1.0,,
05003,2009,9,1,0,0.0,0.0,1.0,,
05003,2009,12,1,1,0.0,0.0,1.0,0.0,1.0
05003,2010,5,1,1,0.0,0.0,1.0,0.0,1.0
