year,month,crash_fips,home_fips,dr_drink,resident,in_state,out_of_state,home_dry
2008,1,05027,05027,1,True,True,False,True
2008,1,05043,05017,0,False,True,False,False
2008,1,05139,05143,0,False,True,False,False
2008,1,05017,22025,0,False,False,True,
2008,1,05017,48201,0,False,False,True,
2008,1,05119,48113,1,False,False,True,
2008,1,05141,05141,0,True,True,False,True
2008,1,05141,05141,0,True,True,False,True
2008,1,05119,05119,0,True,True,False,False
2008,1,05093,55087,0,False,False,True,
2008,1,05085,05085,0,True,True,False,True
2008,1,05085,05085,0,True,True,False,True
2008,1,05031,05031,1,True,True,False,True
2008,1,05135,05065,0,False,True,False,True
2008,1,05135,05135,0,True,True,False,True
2008,1,05085,05085,1,True,True,False,True
2008,1,05085,05085,0,True,True,False,True
2008,1,05081,05091,1,False,True,False,False
2008,1,05089,05005,0,False,True,False,False
2008,1,05089,05005,1,False,True,False,False
2008,1,05119,05119,1,True,True,False,False
2008,1,05119,05119,0,True,True,False,False
2008,1,05069,05069,0,True,True,False,False
2008,1,05109,47157,0,False,False,True,
2008,1,05109,05057,0,False,True,False,True
2008,1,05119,05119,0,True,True,False,False
2008,1,05107,05107,1,True,True,False,False
2008,1,05119,05045,1,False,True,False,True
2008,1,05051,,0,,,,
2008,1,05051,05059,0,False,True,False,True
2008,1,05057,05057,0,True,True,False,True
2008,1,05057,05109,0,False,True,False,True
2008,1,05143,05143,0,True,True,False,False
2008,1,05143,05143,1,True,True,False,False
2008,1,05035,05031,0,False,True,False,True
2008,1,05131,05131,0,True,True,False,True
2008,1,05139,05011,0,False,True,False,True
2008,1,05019,05119,0,False,True,False,False
2008,1,05019,05059,0,False,True,False,True
2008,1,05035,17091,0,False,False,True,
2008,1,05035,05111,0,False,True,False,False
2008,1,05045,05045,1,True,True,False,True
2008,1,05119,05119,1,True,True,False,False
2008,1,05119,05119,0,True,True,False,False
2008,1,05145,05063,1,False,True,False,True
2008,1,05103,05103,1,True,True,False,False
2008,1,05117,05045,0,False,True,False,True
2008,1,05015,05009,0,False,True,False,False
2008,1,05021,05021,0,True,True,False,True
2008,1,05021,47113,0,False,False,True,
2008,1,05045,05141,1,False,True,False,True
2008,1,05121,05121,0,True,True,False,True
2008,1,05113,05113,0,True,True,False,True
2008,1,05113,40079,0,False,False,True,
2008,1,05119,05085,0,False,True,False,True
2008,1,05119,05145,0,False,True,False,True
2008,1,05107,05107,0,True,True,False,False
2008,2,05131,05131,0,True,True,False,True
2008,2,05131,05131,0,True,True,False,True
2008,2,05031,05031,0,True,True,False,True
2008,2,05031,05031,1,True,True,False,True
2008,2,05143,05143,1,True,True,False,False
2008,2,05033,05131,0,False,True,False,True
2008,2,05033,06037,0,False,False,True,
2008,2,05069,05069,1,True,True,False,False
2008,2,05069,05125,1,False,True,False,True
2008,2,05069,05009,0,False,True,False,False
2008,2,05007,05143,0,False,True,False,False
2008,2,05007,05007,0,True,True,False,True
2008,2,05143,05045,0,False,True,False,True
2008,2,05107,05095,0,False,True,False,False
2008,2,05107,05077,0,False,True,False,False
2008,2,05009,05035,0,False,True,False,False
2008,2,05009,05009,0,True,True,False,False
2008,2,05059,,0,,,,
2008,2,05031,05031,0,True,True,False,True
2008,2,05031,05031,0,True,True,False,True
2008,2,05119,05119,1,True,True,False,False
2008,2,05051,05051,0,True,True,False,False
2008,2,05005,05089,0,False,True,False,False
2008,2,05005,05005,0,True,True,False,False
2008,2,05119,05119,0,True,True,False,False
2008,2,05053,05053,0,True,True,False,True
2008,2,05131,05131,0,True,True,False,True
2008,2,05131,05131,0,True,True,False,True
2008,2,05067,05075,0,False,True,False,True
2008,2,05067,39017,0,False,False,True,
2008,2,05051,19153,1,False,False,True,
2008,2,05043,05043,0,True,True,False,False
2008,2,05007,05007,0,True,True,False,True
2008,2,05007,29097,1,False,False,True,
2008,2,05119,05045,1,False,True,False,True
2008,2,05119,05119,1,True,True,False,False
2008,2,05033,26161,0,False,False,True,
2008,2,05033,01103,0,False,False,True,
2008,2,05087,05007,1,False,True,False,True
2008,2,05085,05131,0,False,True,False,True
2008,2,05085,,0,,,,
2008,2,05075,05075,0,True,True,False,True
2008,2,05075,05031,0,False,True,False,True
2008,2,05075,05121,0,False,True,False,True
2008,2,05119,,0,,,,
2008,2,05095,05095,0,True,True,False,False
2008,2,05095,05147,0,False,True,False,False
2008,2,05119,05085,1,False,True,False,True
2008,2,05139,05139,0,True,True,False,False
2008,2,05003,05003,1,True,True,False,True
2008,2,05105,05105,0,True,True,False,True
2008,2,05105,05105,0,True,True,False,True
2008,2,05149,05149,1,True,True,False,True
2008,2,05119,05119,0,True,True,False,False
2008,2,05119,05045,0,False,True,False,True
2008,1,05009,05009,1,True,True,False,False
2008,3,05015,05015,0,True,True,False,False
2008,3,05045,05045,0,True,True,False,True
2008,3,05007,05007,0,True,True,False,True
2008,3,05007,05007,0,True,True,False,True
2008,3,05115,05115,0,True,True,False,True
2008,3,05115,05071,1,False,True,False,True
2008,3,05119,05119,0,True,True,False,False
2008,3,05045,05033,0,False,True,False,True
2008,3,05033,05033,1,True,True,False,True
2008,3,05145,05125,0,False,True,False,True
2008,3,05061,05061,0,True,True,False,True
2008,3,05093,29155,0,False,False,True,
2008,3,05029,05115,0,False,True,False,True
2008,3,05087,05143,0,False,True,False,False
2008,3,05087,05143,0,False,True,False,False
2008,3,05025,05039,0,False,True,False,False
2008,3,05025,05039,0,False,True,False,False
2008,3,05119,05119,0,True,True,False,False
2008,3,05119,05119,0,True,True,False,False
2008,3,05117,05117,0,True,True,False,False
2008,3,05117,05117,0,True,True,False,False
2008,3,05039,05059,0,False,True,False,True
2008,3,05045,05119,0,False,True,False,False
2008,3,05045,05071,0,False,True,False,True
2008,3,05055,05021,0,False,True,False,True
2008,3,05055,17145,0,False,False,True,
2008,3,05069,05059,1,False,True,False,True
2008,3,05133,05133,0,True,True,False,True
2008,3,05133,22015,0,False,False,True,
2008,3,05139,22111,1,False,False,True,
2008,3,05119,05109,1,False,True,False,True
2008,3,05037,47157,0,False,False,True,
2008,3,05037,47157,0,False,False,True,
2008,3,05095,05001,1,False,True,False,False
2008,3,05131,05131,1,True,True,False,True
2008,3,05047,29069,0,False,False,True,
2008,3,05131,05143,0,False,True,False,False
