fips,year,n_wet_corr,share_wet_corr,n_aug_corr,share_aug_corr
05001,2008,5,0.7143,5,0.7143
05001,2009,5,0.7143,5,0.7143
05001,2010,5,0.7143,5,0.7143
05001,2011,5,0.7143,5,0.7143
05001,2012,5,0.7143,5,0.7143
05001,2013,5,0.7143,5,0.7143
05001,2014,5,0.7143,5,0.7143
05001,2015,5,0.7143,5,0.7143
05001,2016,5,0.7143,5,0.7143
05001,2017,5,0.7143,5,0.7143
05001,2018,5,0.7143,5,0.7143
05001,2019,5,0.7143,5,0.7143
05001,2020,5,0.7143,5,0.7143
05001,2021,5,0.7143,5,0.7143
05001,2022,5,0.7143,5,0.7143
05001,2023,5,0.7143,5,0.7143
05003,2008,3,0.75,5,0.8333
05003,2009,3,0.75,5,0.8333
05003,2010,3,0.75,5,0.8333
05003,2011,3,0.75,5,0.8333
05003,2012,3,0.75,5,0.8333
05003,2013,3,0.75,5,0.8333
05003,2014,3,0.75,5,0.8333
05003,2015,3,0.75,5,0.8333
05003,2016,3,0.75,5,0.8333
05003,2017,3,0.75,5,0.8333
05003,2018,3,0.75,5,0.8333
05003,2019,3,0.75,5,0.8333
05003,2020,3,0.75,5,0.8333
05003,2021,3,0.75,5,0.8333
05003,2022,3,0.75,5,0.8333
05003,2023,3,0.75,5,0.8333
05005,2008,1,0.2,2,0.3333
05005,2009,1,0.2,2,0.3333
05005,2010,1,0.2,2,0.3333
05005,2011,1,0.2,2,0.3333
05005,2012,1,0.2,2,0.3333
05005,2013,1,0.2,2,0.3333
05005,2014,1,0.2,2,0.3333
05005,2015,1,0.2,2,0.3333
05005,2016,1,0.2,2,0.3333
05005,2017,1,0.2,2,0.3333
05005,2018,1,0.2,2,0.3333
05005,2019,1,0.2,2,0.3333
05005,2020,1,0.2,2,0.3333
05005,2021,1,0.2,2,0.3333
05005,2022,1,0.2,2,0.3333
05005,2023,1,0.2,2,0.3333
05007,2008,2,0.6667,6,0.8571
05007,2009,2,0.6667,6,0.8571
05007,2010,2,0.6667,6,0.8571
05007,2011,2,0.6667,6,0.8571
05007,2012,3,1.0,7,1.0
05007,2013,3,1.0,7,1.0
05007,2014,3,1.0,7,1.0
05007,2015,3,1.0,7,1.0
05007,2016,3,1.0,7,1.0
05007,2017,3,1.0,7,1.0
05007,2018,3,1.0,7,1.0
05007,2019,3,1.0,7,1.0
05007,2020,3,1.0,7,1.0
05007,2021,3,1.0,7,1.0
05007,2022,3,1.0,7,1.0
05007,2023,3,1.0,7,1.0
05009,2008,2,0.5,3,0.6
05009,2009,2,0.5,3,0.6
05009,2010,2,0.5,3,0.6
05009,2011,2,0.5,3,0.6
05009,2012,2,0.5,3,0.6
05009,2013,2,0.5,3,0.6
05009,2014,2,0.5,3,0.6
05009,2015,2,0.5,3,0.6
05009,2016,2,0.5,3,0.6
05009,2017,2,0.5,3,0.6
05009,2018,2,0.5,3,0.6
05009,2019,2,0.5,3,0.6
05009,2020,2,0.5,3,0.6
05009,2021,2,0.5,3,0.6
05009,2022,2,0.5,3,0.6
05009,2023,2,0.5,3,0.6
05011,2008,4,0.8,4,0.8
05011,2009,4,0.8,4,0.8
05011,2010,4,0.8,4,0.8
05011,2011,4,0.8,4,0.8
05011,2012,4,0.8,4,0.8
05011,2013,4,0.8,4,0.8
05011,2014,4,0.8,4,0.8
05011,2015,4,0.8,4,0.8
05011,2016,4,0.8,4,0.8
05011,2017,4,0.8,4,0.8
05011,2018,4,0.8,4,0.8
05011,2019,4,0.8,4,0.8
05011,2020,4,0.8,4,0.8
05011,2021,4,0.8,4,0.8
05011,2022,4,0.8,4,0.8
05011,2023,4,0.8,4,0.8
05013,2008,4,0.8,4,0.8
05013,2009,4,0.8,4,0.8
05013,2010,4,0.8,4,0.8
05013,2011,4,0.8,4,0.8
05013,2012,4,0.8,4,0.8
05013,2013,4,0.8,4,0.8
05013,2014,4,0.8,4,0.8
05013,2015,4,0.8,4,0.8
05013,2016,4,0.8,4,0.8
05013,2017,4,0.8,4,0.8
05013,2018,4,0.8,4,0.8
05013,2019,4,0.8,4,0.8
05013,2020,4,0.8,4,0.8
05013,2021,4,0.8,4,0.8
05013,2022,4,0.8,4,0.8
05013,2023,4,0.8,4,0.8
05015,2008,0,0.0,3,0.4286
05015,2009,0,0.0,3,0.4286
05015,2010,1,0.25,4,0.5714
05015,2011,1,0.25,4,0.5714
05015,2012,3,0.75,6,0.8571
05015,2013,3,0.75,6,0.8571
05015,2014,3,0.75,6,0.8571
05015,2015,3,0.75,6,0.8571
05015,2016,3,0.75,6,0.8571
05015,2017,3,0.75,6,0.8571
05015,2018,3,0.75,6,0.8571
05015,2019,3,0.75,6,0.8571
05015,2020,3,0.75,6,0.8571
05015,2021,3,0.75,6,0.8571
05015,2022,3,0.75,6,0.8571
05015,2023,3,0.75,6,0.8571
05017,2008,2,0.6667,6,0.6667
05017,2009,2,0.6667,6,0.6667
05017,2010,2,0.6667,6,0.6667
05017,2011,2,0.6667,6,0.6667
05017,2012,2,0.6667,6,0.6667
05017,2013,2,0.6667,6,0.6667
05017,2014,2,0.6667,6,0.6667
05017,2015,2,0.6667,6,0.6667
05017,2016,2,0.6667,6,0.6667
05017,2017,2,0.6667,6,0.6667
05017,2018,2,0.6667,6,0.6667
05017,2019,2,0.6667,6,0.6667
05017,2020,2,0.6667,6,0.6667
05017,2021,2,0.6667,6,0.6667
05017,2022,2,0.6667,6,0.6667
05017,2023,2,0.6667,6,0.6667
05019,2008,2,0.3333,2,0.3333
05019,2009,2,0.3333,2,0.3333
05019,2010,2,0.3333,2,0.3333
05019,2011,2,0.3333,2,0.3333
05019,2012,2,0.3333,2,0.3333
05019,2013,2,0.3333,2,0.3333
05019,2014,2,0.3333,2,0.3333
05019,2015,2,0.3333,2,0.3333
05019,2016,2,0.3333,2,0.3333
05019,2017,2,0.3333,2,0.3333
05019,2018,2,0.3333,2,0.3333
05019,2019,2,0.3333,2,0.3333
05019,2020,2,0.3333,2,0.3333
05019,2021,2,0.3333,2,0.3333
05019,2022,3,0.5,3,0.5
05019,2023,3,0.5,3,0.5
05021,2008,1,0.5,4,0.8
05021,2009,1,0.5,4,0.8
05021,2010,1,0.5,4,0.8
05021,2011,1,0.5,4,0.8
05021,2012,1,0.5,4,0.8
05021,2013,1,0.5,4,0.8
05021,2014,1,0.5,4,0.8
05021,2015,1,0.5,4,0.8
05021,2016,1,0.5,4,0.8
05021,2017,1,0.5,4,0.8
05021,2018,2,1.0,5,1.0
05021,2019,2,1.0,5,1.0
05021,2020,2,1.0,5,1.0
05021,2021,2,1.0,5,1.0
05021,2022,2,1.0,5,1.0
05021,2023,2,1.0,5,1.0
05023,2008,0,0.0,0,0.0
05023,2009,0,0.0,0,0.0
05023,2010,0,0.0,0,0.0
05023,2011,0,0.0,0,0.0
05023,2012,0,0.0,0,0.0
05023,2013,0,0.0,0,0.0
05023,2014,0,0.0,0,0.0
05023,2015,0,0.0,0,0.0
05023,2016,0,0.0,0,0.0
05023,2017,0,0.0,0,0.0
05023,2018,0,0.0,0,0.0
05023,2019,0,0.0,0,0.0
05023,2020,1,0.2,1,0.2
05023,2021,1,0.2,1,0.2
05023,2022,1,0.2,1,0.2
05023,2023,1,0.2,1,0.2
05025,2008,4,0.5714,4,0.5714
05025,2009,4,0.5714,4,0.5714
05025,2010,4,0.5714,4,0.5714
05025,2011,4,0.5714,4,0.5714
05025,2012,4,0.5714,4,0.5714
05025,2013,4,0.5714,4,0.5714
05025,2014,4,0.5714,4,0.5714
05025,2015,4,0.5714,4,0.5714
05025,2016,4,0.5714,4,0.5714
05025,2017,4,0.5714,4,0.5714
05025,2018,4,0.5714,4,0.5714
05025,2019,4,0.5714,4,0.5714
05025,2020,4,0.5714,4,0.5714
05025,2021,4,0.5714,4,0.5714
05025,2022,4,0.5714,4,0.5714
05025,2023,4,0.5714,4,0.5714
05027,2008,2,0.5,4,0.6667
05027,2009,2,0.5,4,0.6667
05027,2010,2,0.5,4,0.6667
05027,2011,2,0.5,4,0.6667
05027,2012,2,0.5,4,0.6667
05027,2013,2,0.5,4,0.6667
05027,2014,2,0.5,4,0.6667
05027,2015,2,0.5,4,0.6667
05027,2016,2,0.5,4,0.6667
05027,2017,2,0.5,4,0.6667
05027,2018,2,0.5,4,0.6667
05027,2019,2,0.5,4,0.6667
05027,2020,2,0.5,4,0.6667
05027,2021,2,0.5,4,0.6667
05027,2022,2,0.5,4,0.6667
05027,2023,2,0.5,4,0.6667
05029,2008,0,0.0,0,0.0
05029,2009,0,0.0,0,0.0
05029,2010,0,0.0,0,0.0
05029,2011,0,0.0,0,0.0
05029,2012,0,0.0,0,0.0
05029,2013,0,0.0,0,0.0
05029,2014,0,0.0,0,0.0
05029,2015,0,0.0,0,0.0
05029,2016,0,0.0,0,0.0
05029,2017,0,0.0,0,0.0
05029,2018,0,0.0,0,0.0
05029,2019,0,0.0,0,0.0
05029,2020,1,0.2,1,0.2
05029,2021,1,0.2,1,0.2
05029,2022,1,0.2,1,0.2
05029,2023,1,0.2,1,0.2
05031,2008,4,0.8,5,0.8333
05031,2009,4,0.8,5,0.8333
05031,2010,4,0.8,5,0.8333
05031,2011,4,0.8,5,0.8333
05031,2012,4,0.8,5,0.8333
05031,2013,4,0.8,5,0.8333
05031,2014,4,0.8,5,0.8333
05031,2015,4,0.8,5,0.8333
05031,2016,4,0.8,5,0.8333
05031,2017,4,0.8,5,0.8333
05031,2018,4,0.8,5,0.8333
05031,2019,4,0.8,5,0.8333
05031,2020,4,0.8,5,0.8333
05031,2021,4,0.8,5,0.8333
05031,2022,4,0.8,5,0.8333
05031,2023,4,0.8,5,0.8333
05033,2008,3,0.75,5,0.8333
05033,2009,3,0.75,5,0.8333
05033,2010,3,0.75,5,0.8333
05033,2011,3,0.75,5,0.8333
05033,2012,4,1.0,6,1.0
05033,2013,4,1.0,6,1.0
05033,2014,4,1.0,6,1.0
05033,2015,4,1.0,6,1.0
05033,2016,4,1.0,6,1.0
05033,2017,4,1.0,6,1.0
05033,2018,4,1.0,6,1.0
05033,2019,4,1.0,6,1.0
05033,2020,4,1.0,6,1.0
05033,2021,4,1.0,6,1.0
05033,2022,4,1.0,6,1.0
05033,2023,4,1.0,6,1.0
05035,2008,5,1.0,6,0.6667
05035,2009,5,1.0,6,0.6667
05035,2010,5,1.0,6,0.6667
05035,2011,5,1.0,6,0.6667
05035,2012,5,1.0,6,0.6667
05035,2013,5,1.0,6,0.6667
05035,2014,5,1.0,6,0.6667
05035,2015,5,1.0,6,0.6667
05035,2016,5,1.0,6,0.6667
05035,2017,5,1.0,6,0.6667
05035,2018,5,1.0,6,0.6667
05035,2019,5,1.0,6,0.6667
05035,2020,5,1.0,6,0.6667
05035,2021,5,1.0,6,0.6667
05035,2022,5,1.0,6,0.6667
05035,2023,5,1.0,6,0.6667
05037,2008,5,1.0,5,1.0
05037,2009,5,1.0,5,1.0
05037,2010,5,1.0,5,1.0
05037,2011,5,1.0,5,1.0
05037,2012,5,1.0,5,1.0
05037,2013,5,1.0,5,1.0
05037,2014,5,1.0,5,1.0
05037,2015,5,1.0,5,1.0
05037,2016,5,1.0,5,1.0
05037,2017,5,1.0,5,1.0
05037,2018,5,1.0,5,1.0
05037,2019,5,1.0,5,1.0
05037,2020,5,1.0,5,1.0
05037,2021,5,1.0,5,1.0
05037,2022,5,1.0,5,1.0
05037,2023,5,1.0,5,1.0
05039,2008,3,0.5,3,0.5
05039,2009,3,0.5,3,0.5
05039,2010,4,0.6667,4,0.6667
05039,2011,4,0.6667,4,0.6667
05039,2012,4,0.6667,4,0.6667
05039,2013,4,0.6667,4,0.6667
05039,2014,4,0.6667,4,0.6667
05039,2015,4,0.6667,4,0.6667
05039,2016,4,0.6667,4,0.6667
05039,2017,4,0.6667,4,0.6667
05039,2018,4,0.6667,4,0.6667
05039,2019,4,0.6667,4,0.6667
05039,2020,4,0.6667,4,0.6667
05039,2021,4,0.6667,4,0.6667
05039,2022,5,0.8333,5,0.8333
05039,2023,5,0.8333,5,0.8333
