term,coef,se,p
d_m5,-.0513101501606099,.1928350460151587,.7901751969328354
d_m4,-.1312065495942473,.1941833810580136,.4992414733424231
d_m3,.1698931295590761,.1510880638570728,.2608161196785239
d_m2,.213417715846371,.1149485374996125,.0633628062176073
d_p0,.1116641134152001,.1347577673975245,.407314711539891
d_p1,-.0436925334601553,.1321586225959192,.7409415425810413
d_p2,.0926216814285289,.1429134320450469,.5169225995255605
d_p3,.0390940876418978,.0800098760377806,.6251137421626179
d_p4,-.0551736064162707,.1550621028739881,.7219782248477904
d_p5,.0801294455401489,.2403661198743903,.7388594264365973
