term,coef,se,p
d_m5,.0012902677759639,.48684225100844,.9978853858094032
d_m4,-.1518382044764596,.2774358567168613,.5841786848394477
d_m3,-.284062049920888,.7198504955932566,.6931288396248869
d_m2,-.5480622208112964,.6744603767063463,.4164510721818357
d_p0,-.0073819516922464,.4782429877971301,.9876846884199872
d_p1,.7056911365419658,.4644003219462999,.1286178157048717
d_p2,-.0396952056924915,.6453939022989744,.9509567194337296
d_p3,.1975870255860005,.313460659014399,.5284716697789626
d_p4,-.7733282252452927,.7241564685348282,.2855646678240119
d_p5,.6276922501628409,.4487677620904968,.1619024419240768
