term,coef,se,p
d_m5,.0564532888062003,.1329600433026762,.6711367684713201
d_m4,.0395557807466202,.1519633812686198,.7946338313210887
d_m3,.1490619072795228,.1067375585627782,.162555785801841
d_m2,-.1255659483147139,.1926722084524967,.5145897995778204
d_p0,-.0507846919032023,.1269152206784409,.689048555556222
d_p1,.1954967937542667,.1365819912444378,.1523295938618675
d_p2,.158172027478724,.0925600045529136,.0874770093429942
d_p3,.0323983951866629,.1746390851500217,.8528241043642071
d_p4,-.228920169944023,.2124607590244632,.2812701867221334
d_p5,.0426157213503519,.11267695554568,.7052734766692591
