term,coef,se,p
d_m5,-.4653673575103915,.1717764333082319,.0067456742533784
d_m4,-.5986668352515876,.2622147841775566,.0224235214942686
d_m3,-.2915793950430158,.3995285764488837,.4655071808192938
d_m2,-.3111069288083094,.2524582872585266,.2178332216591462
d_p0,.3777074218361845,.2071035473425373,.0681881763537074
d_p1,-.4642938740196907,.3248162287917436,.1528879218400177
d_p2,-.2319021048210771,.1480906021253513,.1173609136692948
d_p3,.1047208217337206,.098166871579626,.2860787079371765
d_p4,-.2295624128326891,.3022158455084298,.4474951899704199
d_p5,.261493843872069,.3661732909686342,.4751493100226322
