term,coef,se,p
d_m5,.491737243299092,.6875173132165134,.4744631284842756
d_m4,-.1117414930566694,.6408905099124508,.8615876689691175
d_m3,-.4612419592755676,.8335612449762825,.5800312892533883
d_m2,-.4013563430595873,.6302117008048289,.5242163297748609
d_p0,.2370507664857519,.918746209147613,.796394941543173
d_p1,.8380064078261106,.5944466038576082,.1586208157478529
d_p2,-.1329884095213622,.5390212539171112,.8051233681896723
d_p3,.2518136903381022,.7307486071784328,.7303974514382575
d_p4,-.9450095840795539,.5842414861030188,.1057707721172305
d_p5,.2039944235548572,.7913383866958361,.7965735657402829
