term,coef,se,p
d_m5,-.0283796311256453,.2078558160100298,.8913982158079949
d_m4,.112405337855116,.1607009077283807,.4842588451291259
d_m3,.1547903842997117,.2767067331464344,.5758871887117238
d_m2,-.2408392008235489,.2596088651866414,.353563095373416
d_p0,-.103909798835118,.1927462221860962,.5898167442684921
d_p1,.1525230686624135,.1776451455977772,.3905707241872801
d_p2,-.3715977759697756,.304673886492945,.2225947574409557
d_p3,-.0161101976583021,.4717701823784999,.9727588120627949
d_p4,-.566070269389809,.4779793569204674,.2362948942919921
d_p5,.0813272096308965,.2176833249015087,.7086994746747372
