fips,year,dist_popcen_instate,dist_popcen_aug,dist_border_instate,dist_border_aug,nearest_wet_fips_aug,nearest_wet_is_oos,n_wet_neighbors_instate_chk,n_oos_wet_neighbors,n_wet_neighbors_aug,any_wet_neighbor_aug,share_wet_neighbors_aug
05001,2008,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2009,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2010,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2011,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2012,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2013,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2014,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2015,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2016,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2017,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2018,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2019,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2020,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2021,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2022,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05001,2023,29.181,29.181,9.339,9.339,05117,0,5,0,5,1,0.7143
05003,2008,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2009,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2010,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2011,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2012,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2013,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2014,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2015,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2016,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2017,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2018,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2019,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2020,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2021,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2022,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05003,2023,31.406,27.209,14.968,11.903,22067,1,3,2,5,1,0.8333
05005,2008,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2009,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2010,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2011,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2012,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2013,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2014,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2015,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2016,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2017,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2018,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2019,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2020,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2021,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2022,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05005,2023,15.728,15.728,7.336,7.336,05089,0,1,1,2,1,0.3333
05007,2008,16.836,16.836,8.524,8.524,05143,0,2,4,6,1,0.8571
05007,2009,16.836,16.836,8.524,8.524,05143,0,2,4,6,1,0.8571
05007,2010,16.836,16.836,8.524,8.524,05143,0,2,4,6,1,0.8571
05007,2011,16.836,16.836,8.524,8.524,05143,0,2,4,6,1,0.8571
05007,2012,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2013,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2014,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2015,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2016,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2017,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2018,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2019,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2020,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2021,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2022,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05007,2023,16.836,16.836,8.524,8.524,05143,0,3,4,7,1,1.0
05009,2008,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2009,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2010,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2011,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2012,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2013,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2014,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2015,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2016,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2017,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2018,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2019,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2020,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2021,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2022,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05009,2023,24.459,24.459,11.156,11.156,05015,0,2,1,3,1,0.6
05011,2008,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2009,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2010,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2011,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2012,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2013,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2014,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2015,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2016,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2017,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2018,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2019,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2020,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2021,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2022,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05011,2023,18.617,18.617,6.214,6.214,05043,0,4,0,4,1,0.8
05013,2008,19.321,19.321,10.18,10.18,05103,0,4,0,4,1,0.8
05013,2009,19.321,19.321,10.18,10.18,05103,0,4,0,4,1,0.8
05013,2010,19.321,19.321,10.18,10.18,05103,0,4,0,4,1,0.8
05013,2011,19.321,19.321,10.18,10.18,05103,0,4,0,4,1,0.8
05013,2012,19.321,19.321,10.18,10.18,05103,0,4,0,4,1,0.8
05013,2013,19.321,19.321,10.18,10.18,05103,0,4,0,4,1,0.8
