term,coef,se
t_2008_2009,3.681818181818182,1.141846278014066
t_2009_2010,-1.772727272727273,1.213923419173686
t_2009_2011,-2.909090909090909,1.474042877330019
t_2009_2012,-1.75,1.548688961670483
t_2009_2013,-3.125,.8373600629358914
t_2009_2014,-2.666666666666667,2.545875386086578
t_2009_2015,-4.166666666666667,1.152694106735913
t_2009_2016,-2.6,1.458766602304837
t_2009_2017,-2.6,1.458766602304837
t_2009_2018,.25,2.161452058223823
t_2009_2019,-2.75,1.88331489666492
t_2009_2020,-2.5,1.457737973711325
t_2009_2021,-2,.7071067811865476
t_2009_2022,0,0
t_2009_2023,0,0
t_2008_2009,-.2083333333333334,.8844152834039668
t_2009_2010,2.833333333333333,1.535837327419899
t_2010_2011,-2.25,2.105506998853773
t_2011_2012,2,2.965074479109533
t_2011_2013,-1.041666666666667,.8932051239880561
t_2011_2014,-.9999999999999999,.8164965809277259
t_2011_2015,.5000000000000002,1.806623615723234
t_2011_2016,.2000000000000002,1.009290179614697
t_2011_2017,.2,1.085664159243855
t_2011_2018,-.2499999999999998,1.784870832550325
t_2011_2019,-.7499999999999999,1.573985563960342
t_2011_2020,3.166666666666667,2.620255854060962
t_2011_2021,-.3333333333333334,2.177324215807269
t_2011_2022,0,0
t_2011_2023,0,0
t_2008_2009,.8333333333333333,.742243845327077
t_2009_2010,4.69709741188e-17,.4714045207910317
t_2010_2011,-.3333333333333335,1.46565621758588
t_2011_2012,.6666666666666666,.5610836076867821
t_2012_2013,.1666666666666666,1.152694106735913
t_2013_2014,-2.166666666666667,.6419011115717413
t_2013_2015,-2.166666666666667,.7038255255177736
t_2013_2016,-2.3,.8927485648266258
t_2013_2017,-1.3,1.147606204235582
t_2013_2018,-2.5,.5590169943749473
t_2013_2019,-2.5,1.457737973711325
t_2013_2020,.5,1.060660171779821
t_2013_2021,2,1.118033988749895
t_2013_2022,0,0
t_2013_2023,0,0
t_2008_2009,-2,.6928203230275508
t_2009_2010,-.6,.3577708763999662
t_2010_2011,.8000000000000002,.4381780460041328
t_2011_2012,-1,.4898979485566356
t_2012_2013,2,.3999999999999999
t_2013_2014,-2.600000000000001,.606630035524124
t_2014_2015,.6,.3577708763999662
t_2015_2016,2.2,.7694153624668536
t_2015_2017,1.2,.4381780460041328
t_2015_2018,1.25,.414578098794425
t_2015_2019,.7500000000000001,.5448623679425842
t_2015_2020,3.5,1.060660171779821
t_2015_2021,2,.7071067811865476
t_2015_2022,0,0
t_2015_2023,0,0
t_2008_2009,1.25,.81967981553775
t_2009_2010,-.7500000000000001,.414578098794425
t_2010_2011,2.25,.2165063509461096
t_2011_2012,-2.5,.25
t_2012_2013,-1.25,.414578098794425
t_2013_2014,.5,.75
