term,coef,se
t_2008_2009,3.545454545454546,.85631959318933
t_2009_2010,-2.318181818181818,.9823288387337328
t_2009_2011,-3.681818181818182,1.152651860296216
t_2009_2012,-2.5,.7905694150420949
t_2009_2013,-4,.9013878188659973
t_2009_2014,-4.833333333333333,2.338288389526106
t_2009_2015,-3.666666666666667,1.484487690654154
t_2009_2016,-3.9,1.735799527595281
t_2009_2017,-1.8,.9230384607371462
t_2009_2018,3,.7905694150420949
t_2009_2019,-1.5,1.224744871391589
t_2009_2020,.5,1.457737973711325
t_2009_2021,.5,.3535533905932738
t_2009_2022,0,0
t_2009_2023,0,0
t_2008_2009,1.666666666666667,2.475808883906355
t_2009_2010,1.166666666666667,2.845765209856504
t_2010_2011,-3.25,3.127915306824446
t_2011_2012,2.416666666666667,2.186673124143582
t_2011_2013,-1.416666666666667,1.770792483188959
t_2011_2014,-3.833333333333333,1.806623615723233
t_2011_2015,1.166666666666666,2.604305551852049
t_2011_2016,4.733333333333333,3.794420855628647
t_2011_2017,1.666666666666666,2.077034923652964
t_2011_2018,.75,2.056071631912554
t_2011_2019,3.083333333333333,3.435331807792317
t_2011_2020,7,4.949747468305833
t_2011_2021,-1.333333333333333,4.283906144146
t_2011_2022,0,0
t_2011_2023,0,0
t_2008_2009,2.666666666666667,1.539600717839002
t_2009_2010,-.6666666666666665,1.610152971798826
t_2010_2011,1,2.438123139721299
t_2011_2012,-1.666666666666666,1.820663289797104
t_2012_2013,2.666666666666667,2.815302102071095
t_2013_2014,-4.166666666666667,2.320400667828567
t_2013_2015,-3.5,1.419115530493867
t_2013_2016,-5.800000000000001,4.421764353739353
t_2013_2017,-6.700000000000001,3.532279717123207
t_2013_2018,-5.25,3.559757716474536
t_2013_2019,-1.75,2.769814975770042
t_2013_2020,2.5,3.259601202601325
t_2013_2021,3,2.692582403567252
t_2013_2022,0,0
t_2013_2023,0,0
t_2008_2009,3.2,.4381780460041328
t_2009_2010,-4.4,.4560701700396551
t_2010_2011,3.6,1.283744522870497
t_2011_2012,-2,1.326649916142159
t_2012_2013,6.200000000000001,1.145425685062108
t_2013_2014,-8,1.058300524425836
t_2014_2015,3.2,1.368210510118965
t_2015_2016,1,1.414213562373095
t_2015_2017,-1.4,1.663730747446833
t_2015_2018,2,1.695582495781317
t_2015_2019,3,1.837117307087384
t_2015_2020,5.5,1.060660171779821
t_2015_2021,2.5,.3535533905932738
t_2015_2022,0,0
t_2015_2023,0,0
t_2008_2009,.25,.5448623679425842
