outcome,regressor,arm,coef,se,t,pval,n,sig
fatal_crashes,share_wet_corr,all,.7250474723324456,1.536605278451599,.4718501768151277,.6370337328567726,464,
fatal_crashes,L_share_wet_nbr,all,.123505707069262,1.967711536210569,.062766165058477,.9499527090945674,435,
fatal_crashes,D_share_wet_nbr,all,.3989859024519906,2.186097922318656,.1825105354973356,.8551820870841456,435,
fatal_crashes,L_share_wet_aug,all,.8679501492608105,2.27646578682146,.3812708955633791,.7030022475335485,435,
fatal_crashes,L_share_wet_nbr,rural,-2.505643637759247,1.637025087990355,-1.530607964496882,.1258663121417127,330,
fatal_crashes,L_share_wet_nbr,urban,18.11737479219159,3.879287108393823,4.670284587338237,3.00782746510e-06,105,***
alcohol_fatal_crashes,share_wet_corr,all,1.740785701644204,.7456622817526845,2.334549760988949,.0195669536595813,464,**
alcohol_fatal_crashes,L_share_wet_nbr,all,1.65619652994039,1.076769246494031,1.538116486269439,.1240201356832671,435,
alcohol_fatal_crashes,D_share_wet_nbr,all,-.5136089395687879,1.330640612096034,-.3859862196447978,.6995068746169633,435,
alcohol_fatal_crashes,L_share_wet_aug,all,2.44034949250302,1.083727459218431,2.251811072742372,.0243342136558413,435,**
alcohol_fatal_crashes,L_share_wet_nbr,rural,.7689779655715357,.9302317624631027,.8266520200679957,.4084343234884464,330,
alcohol_fatal_crashes,L_share_wet_nbr,urban,10.65840605712156,2.855642162238325,3.732402539107782,.0001896620891668,105,***
nonalc_fatal_crashes,share_wet_corr,all,-1.015738229311757,1.480780914022049,-.6859476778052479,.4927461031804787,464,
nonalc_fatal_crashes,L_share_wet_nbr,all,-1.532690822871129,1.363997416678426,-1.123675751969898,.2611506067767388,435,
nonalc_fatal_crashes,D_share_wet_nbr,all,.9125948420207813,1.695180242154693,.5383467901093569,.5903376540325547,435,
nonalc_fatal_crashes,L_share_wet_aug,all,-1.572399343242212,1.864239860421452,-.8434533434376502,.3989749490693399,435,
nonalc_fatal_crashes,L_share_wet_nbr,rural,-3.274621603330778,1.316866993814936,-2.486676041476496,.0128942756850574,330,**
nonalc_fatal_crashes,L_share_wet_nbr,urban,7.458968735070025,3.375959108833653,2.209436931730786,.0271442646100903,105,**
