section,tag,outcome,dropped,att,p,preavg,preavg_p,n
s3_spill,full,fatal_crashes,0,4.881672778610968,.0144319179925166,.8141733436929396,.2420721235302501,112
s3_spill,drop,fatal_crashes,5033,7.289380109916242,.0000822920217563,.4719943747653335,.4387686767537707,96
s3_spill,drop,fatal_crashes,5045,3.804383159766652,.0045902757714999,3.137178539161655,.0000870738466863,96
s3_spill,drop,fatal_crashes,5053,4.380655617318495,.0837746566623545,.4734290284761169,.5855126051372121,96
s3_spill,drop,fatal_crashes,5105,4.812739071736112,.076437154865535,.5653670220885346,.5475073439298865,96
s3_spill,drop,fatal_crashes,5031,1.908131840412162,.1984986915484941,1.904934277507584,.0155405521917884,96
s3_spill,drop,fatal_crashes,5079,5.248606153499948,.001773933022617,1.154573098343674,.284544806319587,96
s3_spill,drop,fatal_crashes,5085,5.252143699542592,.0269787552730447,-1.09333109873244,2.49916567740e-12,96
s3_spill,full,nonalc_fatal_crashes,0,3.441924101892951,.1044015336431436,.9913963529770095,.1713684152971778,112
s3_spill,drop,nonalc_fatal_crashes,5033,5.374417652428435,.0343407595647117,.6541222462073168,.3282597878698165,96
s3_spill,drop,nonalc_fatal_crashes,5045,2.346988695874209,.0170644950837858,3.730915664829754,7.41286176428e-06,96
s3_spill,drop,nonalc_fatal_crashes,5053,3.160713294954326,.1663089552727033,.6843086359631448,.4165534100311286,96
s3_spill,drop,nonalc_fatal_crashes,5105,3.33962812758134,.1762039788047046,.7712023419089605,.4035518233901172,96
s3_spill,drop,nonalc_fatal_crashes,5031,-2.390030639595774,.0087503049561935,2.679331729122347,.0021119302330259,96
s3_spill,drop,nonalc_fatal_crashes,5079,-3.054204342290869,.3684329496181799,1.820849389894551,.1246069164888582,96
s3_spill,drop,nonalc_fatal_crashes,5085,8.034464575955612,.0172159477121826,-.6741268972632626,.1109973274076951,96
s3_spill,full,alcohol_fatal_crashes,0,1.439748676718028,.1679485799097812,-.1772230092840457,.3506637151325308,112
s3_spill,drop,alcohol_fatal_crashes,5033,1.914962457487818,.1902313535266926,-.1821278714419566,.4899519073525602,96
s3_spill,drop,alcohol_fatal_crashes,5045,1.457394463892443,.0004787368232092,-.5937371256680988,4.90554310697e-44,96
s3_spill,drop,alcohol_fatal_crashes,5053,1.219942322364177,.102840698925241,-.2108796074870188,.1026386470973994,96
s3_spill,drop,alcohol_fatal_crashes,5105,1.473110944154785,.104527003109522,-.2058353198204191,.1474301358914166,96
s3_spill,drop,alcohol_fatal_crashes,5031,4.245158817774255,.0044778186891874,-.774397451614763,.001096624471894,96
s3_spill,drop,alcohol_fatal_crashes,5079,8.302810495790803,.008384697237546,-.6662762915508789,.0740356426249493,96
s3_spill,drop,alcohol_fatal_crashes,5085,-2.861815758596244,.0611930645087925,-.4192042014691351,.2139995137464283,96
