fips,county_name,acs_vintage,total_pop,median_hh_income,median_age,poverty_universe,poverty_below,poverty_rate,race_total,race_white,race_black,pct_white,pct_black,pop_under_18,pct_under_18,pop_21plus,pct_21plus
5001,"Arkansas County, Arkansas",2009,19385.0,36341.0,42.0,18441.0,3388.0,0.1837,19385.0,14139.0,4718.0,0.7294,0.2434,4595.0,0.237,14790.0,0.763
5003,"Ashley County, Arkansas",2009,22337.0,33007.0,38.7,21637.0,4393.0,0.203,22337.0,15148.0,5895.0,0.6782,0.2639,5622.0,0.2517,16715.0,0.7483
5005,"Baxter County, Arkansas",2009,41468.0,34534.0,49.7,40593.0,6178.0,0.1522,41468.0,40265.0,98.0,0.971,0.0024,7641.0,0.1843,33827.0,0.8157
5007,"Benton County, Arkansas",2009,209931.0,50377.0,34.5,206527.0,23195.0,0.1123,209931.0,178866.0,2918.0,0.852,0.0139,57028.0,0.2717,152903.0,0.7283
5009,"Boone County, Arkansas",2009,36341.0,36839.0,40.6,35423.0,5663.0,0.1599,36341.0,35137.0,141.0,0.9669,0.0039,8547.0,0.2352,27794.0,0.7648
5011,"Bradley County, Arkansas",2009,11967.0,26207.0,40.0,11856.0,4140.0,0.3492,11967.0,7447.0,3430.0,0.6223,0.2866,2817.0,0.2354,9150.0,0.7646
5013,"Calhoun County, Arkansas",2009,5411.0,32148.0,41.1,5411.0,855.0,0.158,5411.0,3954.0,1210.0,0.7307,0.2236,1236.0,0.2284,4175.0,0.7716
5015,"Carroll County, Arkansas",2009,27321.0,32978.0,41.9,26787.0,4924.0,0.1838,27321.0,24149.0,95.0,0.8839,0.0035,6143.0,0.2248,21178.0,0.7752
5017,"Chicot County, Arkansas",2009,12279.0,20543.0,40.9,11355.0,4294.0,0.3782,12279.0,5189.0,6610.0,0.4226,0.5383,3078.0,0.2507,9201.0,0.7493
5019,"Clark County, Arkansas",2009,23601.0,31409.0,31.8,20076.0,5298.0,0.2639,23601.0,17363.0,5187.0,0.7357,0.2198,4952.0,0.2098,18649.0,0.7902
5021,"Clay County, Arkansas",2009,16045.0,29282.0,43.5,16028.0,3133.0,0.1955,16045.0,15605.0,27.0,0.9726,0.0017,3504.0,0.2184,12541.0,0.7816
5023,"Cleburne County, Arkansas",2009,25292.0,36405.0,45.8,24388.0,3933.0,0.1613,25292.0,24605.0,173.0,0.9728,0.0068,5147.0,0.2035,20145.0,0.7965
5025,"Cleveland County, Arkansas",2009,8640.0,35063.0,40.5,8630.0,1461.0,0.1693,8640.0,7231.0,1225.0,0.8369,0.1418,2134.0,0.247,6506.0,0.753
