fips,county_name,acs_vintage,pop_15plus,n_married,n_divorced,n_separated,n_widowed,n_never_married,pct_married,pct_divorced,pct_never_married,pct_widowed,pct_separated
05001,Arkansas,2009,15640,8568,2058,384,1553,3461,0.5478,0.1316,0.2213,0.0993,0.0246
05003,Ashley,2009,17857,11317,1580,466,1515,3445,0.6338,0.0885,0.1929,0.0848,0.0261
05005,Baxter,2009,35219,21559,4442,644,3785,5433,0.6121,0.1261,0.1543,0.1075,0.0183
05007,Benton,2009,161675,97489,17990,2890,8671,37525,0.603,0.1113,0.2321,0.0536,0.0179
05009,Boone,2009,29314,17619,3721,674,2444,5530,0.601,0.1269,0.1886,0.0834,0.023
05011,Bradley,2009,9619,5029,687,277,724,3179,0.5228,0.0714,0.3305,0.0753,0.0288
05013,Calhoun,2009,4456,2285,554,96,409,1208,0.5128,0.1243,0.2711,0.0918,0.0215
05015,Carroll,2009,22280,13042,2605,366,1652,4981,0.5854,0.1169,0.2236,0.0741,0.0164
05017,Chicot,2009,9824,4405,1167,382,1271,2981,0.4484,0.1188,0.3034,0.1294,0.0389
05019,Clark,2009,19517,8570,1232,332,1345,8370,0.4391,0.0631,0.4289,0.0689,0.017
05021,Clay,2009,13237,8220,1448,224,1325,2244,0.621,0.1094,0.1695,0.1001,0.0169
05023,Cleburne,2009,21148,13116,2341,298,2027,3664,0.6202,0.1107,0.1733,0.0958,0.0141
05025,Cleveland,2009,6855,4094,749,119,420,1592,0.5972,0.1093,0.2322,0.0613,0.0174
05027,Columbia,2009,19704,10377,2144,521,1848,5335,0.5266,0.1088,0.2708,0.0938,0.0264
05029,Conway,2009,16545,9238,2157,268,1465,3685,0.5584,0.1304,0.2227,0.0885,0.0162
05031,Craighead,2009,72779,39113,9100,1868,5128,19438,0.5374,0.125,0.2671,0.0705,0.0257
05033,Crawford,2009,45729,27679,5584,976,2905,9561,0.6053,0.1221,0.2091,0.0635,0.0213
05035,Crittenden,2009,39496,18887,4910,1644,2950,12749,0.4782,0.1243,0.3228,0.0747,0.0416
05037,Cross,2009,14804,8742,1455,511,1364,3243,0.5905,0.0983,0.2191,0.0921,0.0345
05039,Dallas,2009,6507,3306,857,103,900,1444,0.5081,0.1317,0.2219,0.1383,0.0158
05041,Desha,2009,10711,5579,1004,277,1021,3107,0.5209,0.0937,0.2901,0.0953,0.0259
05043,Drew,2009,15062,7711,1850,226,1271,4230,0.512,0.1228,0.2808,0.0844,0.015
05045,Faulkner,2009,83168,44802,8125,1549,3842,26399,0.5387,0.0977,0.3174,0.0462,0.0186
05047,Franklin,2009,14462,8033,2123,335,1476,2830,0.5555,0.1468,0.1957,0.1021,0.0232
05049,Fulton,2009,9673,5723,1253,173,903,1794,0.5916,0.1295,0.1855,0.0934,0.0179
05051,Garland,2009,79601,41979,11889,1596,7736,17997,0.5274,0.1494,0.2261,0.0972,0.02
05053,Grant,2009,14233,8878,1473,225,802,3080,0.6238,0.1035,0.2164,0.0563,0.0158
05055,Greene,2009,31859,19766,4227,795,2369,5497,0.6204,0.1327,0.1725,0.0744,0.025
05057,Hempstead,2009,18181,10309,1873,439,1505,4494,0.567,0.103,0.2472,0.0828,0.0241
05059,Hot Spring,2009,25656,14098,4102,638,1943,5513,0.5495,0.1599,0.2149,0.0757,0.0249
05061,Howard,2009,11178,6646,1063,339,1048,2421,0.5946,0.0951,0.2166,0.0938,0.0303
05063,Independence,2009,27604,17030,3293,649,2070,5211,0.6169,0.1193,0.1888,0.075,0.0235
05065,Izard,2009,11030,7229,1154,280,864,1783,0.6554,0.1046,0.1617,0.0783,0.0254
05067,Jackson,2009,14019,7511,1709,432,1246,3553,0.5358,0.1219,0.2534,0.0889,0.0308
05069,Jefferson,2009,63560,28824,8694,1751,5051,20991,0.4535,0.1368,0.3303,0.0795,0.0275
05071,Johnson,2009,19329,10423,2751,420,1824,4331,0.5392,0.1423,0.2241,0.0944,0.0217
05073,Lafayette,2009,6356,3569,552,161,651,1584,0.5615,0.0868,0.2492,0.1024,0.0253
05075,Lawrence,2009,13739,8609,1542,488,1304,2284,0.6266,0.1122,0.1662,0.0949,0.0355
05077,Lee,2009,8876,3691,1113,370,879,3193,0.4158,0.1254,0.3597,0.099,0.0417
05079,Lincoln,2009,11652,5566,1348,509,734,4004,0.4777,0.1157,0.3436,0.063,0.0437
05081,Little River,2009,10591,6222,1258,375,884,2227,0.5875,0.1188,0.2103,0.0835,0.0354
05083,Logan,2009,17956,11260,2209,409,1360,3127,0.6271,0.123,0.1741,0.0757,0.0228
05085,Lonoke,2009,49015,29751,5666,1108,3021,10577,0.607,0.1156,0.2158,0.0616,0.0226
05087,Madison,2009,12377,7509,1468,239,894,2506,0.6067,0.1186,0.2025,0.0722,0.0193
05089,Marion,2009,14039,8924,1468,214,1147,2500,0.6357,0.1046,0.1781,0.0817,0.0152
05091,Miller,2009,34233,18017,4719,1324,2897,8600,0.5263,0.1378,0.2512,0.0846,0.0387
05093,Mississippi,2009,35692,18785,4249,1306,3274,9384,0.5263,0.119,0.2629,0.0917,0.0366
05095,Monroe,2009,6939,3614,699,311,844,1782,0.5208,0.1007,0.2568,0.1216,0.0448
05097,Montgomery,2009,7362,4974,720,110,522,1146,0.6756,0.0978,0.1557,0.0709,0.0149
05099,Nevada,2009,7575,4849,1138,251,759,829,0.6401,0.1502,0.1094,0.1002,0.0331
