fips,year,church_establishments,church_employees
5001,2008,23,165
5001,2009,23,165
5001,2010,23,165
5001,2011,23,148
5001,2012,25,141
5001,2013,24,142
5001,2014,26,159
5001,2015,25,164
5001,2016,25,165
5001,2017,24,165
5001,2018,23,183
5001,2019,22,167
5001,2020,23,163
5001,2021,25,165
5001,2022,23,160
5001,2023,25,156
5003,2008,24,145
5003,2009,24,145
5003,2010,24,145
5003,2011,24,133
5003,2012,23,136
5003,2013,24,118
5003,2014,24,128
5003,2015,22,134
5003,2016,23,137
5003,2017,22,125
5003,2018,22,123
5003,2019,23,122
5003,2020,22,114
5003,2021,22,98
5003,2022,22,90
5003,2023,21,79
5005,2008,25,161
5005,2009,25,161
5005,2010,25,161
5005,2011,28,203
5005,2012,30,212
5005,2013,31,188
5005,2014,31,163
5005,2015,30,165
5005,2016,33,154
5005,2017,34,160
5005,2018,35,153
5005,2019,33,154
5005,2020,32,150
5005,2021,34,154
5005,2022,36,140
5005,2023,33,165
5007,2008,148,1548
5007,2009,148,1548
5007,2010,148,1548
5007,2011,152,1639
5007,2012,151,1700
5007,2013,156,1815
5007,2014,162,1830
5007,2015,163,1840
5007,2016,157,1842
5007,2017,167,1856
5007,2018,170,1964
5007,2019,174,1995
5007,2020,174,1982
5007,2021,177,1768
5007,2022,178,1805
5007,2023,178,2007
5009,2008,38,251
5009,2009,38,251
5009,2010,38,251
5009,2011,39,244
5009,2012,41,240
5009,2013,42,250
5009,2014,43,231
5009,2015,39,209
5009,2016,40,180
5009,2017,40,191
5009,2018,43,187
5009,2019,39,185
5009,2020,40,189
5009,2021,44,161
5009,2022,46,168
5009,2023,43,203
5011,2008,15,66
5011,2009,15,66
5011,2010,15,66
5011,2011,14,58
5011,2012,14,62
5011,2013,15,66
5011,2014,16,74
5011,2015,13,58
5011,2016,13,54
5011,2017,13,54
5011,2018,13,52
5011,2019,14,51
5011,2020,15,56
5011,2021,15,42
5011,2022,14,52
5011,2023,14,54
5013,2008,5,17
5013,2009,5,17
5013,2010,5,17
5013,2011,6,12
5013,2012,7,13
5013,2013,7,0
5013,2014,7,14
5013,2015,7,13
5013,2016,7,13
5013,2017,7,13
5013,2018,7,12
5013,2019,6,12
5013,2020,5,14
5013,2021,6,15
5013,2022,6,8
5013,2023,5,12
5015,2008,31,129
5015,2009,31,129
5015,2010,31,129
5015,2011,31,120
5015,2012,31,127
5015,2013,31,129
5015,2014,32,115
5015,2015,34,119
5015,2016,33,118
5015,2017,34,121
5015,2018,34,130
5015,2019,33,113
5015,2020,34,124
5015,2021,36,111
5015,2022,32,120
5015,2023,33,114
5017,2008,10,34
5017,2009,10,34
5017,2010,10,34
5017,2011,9,0
5017,2012,9,0
5017,2013,9,0
5017,2014,10,23
5017,2015,9,23
5017,2016,9,23
5017,2017,9,23
5017,2018,9,22
5017,2019,10,20
5017,2020,10,24
5017,2021,8,18
5017,2022,8,25
5017,2023,9,23
5019,2008,35,217
5019,2009,35,217
5019,2010,35,217
5019,2011,35,198
5019,2012,33,169
5019,2013,34,167
5019,2014,32,168
5019,2015,31,172
5019,2016,34,167
5019,2017,34,169
5019,2018,32,187
5019,2019,32,183
5019,2020,31,169
5019,2021,35,154
5019,2022,34,143
5019,2023,35,137
5021,2008,20,0
5021,2009,20,0
5021,2010,20,0
5021,2011,18,57
5021,2012,20,65
5021,2013,20,52
5021,2014,21,0
5021,2015,21,56
5021,2016,21,59
5021,2017,22,62
5021,2018,21,56
5021,2019,23,61
5021,2020,22,61
5021,2021,22,60
5021,2022,21,47
5021,2023,21,47
5023,2008,33,192
5023,2009,33,192
5023,2010,33,192
5023,2011,33,158
5023,2012,32,168
5023,2013,32,151
5023,2014,31,165
5023,2015,30,160
5023,2016,31,153
5023,2017,35,156
5023,2018,33,154
5023,2019,36,158
5023,2020,35,150
5023,2021,33,136
5023,2022,36,155
5023,2023,35,171
5025,2008,8,0
5025,2009,8,0
5025,2010,8,0
5025,2011,8,23
5025,2012,6,0
5025,2013,7,0
5025,2014,6,0
5025,2015,7,20
5025,2016,5,18
5025,2017,6,15
5025,2018,5,27
5025,2019,5,14
5025,2020,4,15
5025,2021,5,10
5025,2022,5,14
5025,2023,4,8
5027,2008,27,135
5027,2009,27,135
5027,2010,27,135
5027,2011,26,141
5027,2012,31,139
5027,2013,33,148
5027,2014,30,138
5027,2015,31,148
5027,2016,30,144
5027,2017,27,139
5027,2018,27,141
5027,2019,27,132
5027,2020,27,139
5027,2021,26,125
5027,2022,27,132
5027,2023,27,124
5029,2008,23,125
5029,2009,23,125
5029,2010,23,125
5029,2011,24,118
5029,2012,26,116
5029,2013,26,115
5029,2014,29,122
5029,2015,29,122
5029,2016,29,130
5029,2017,30,121
