fips,county,year,total_crashes,crashes_sun,share_sun,crashes_mon,share_mon,crashes_tue,share_tue,crashes_wed,share_wed,crashes_thu,share_thu,crashes_fri,share_fri,crashes_sat,share_sat
5001,Arkansas,2008,2,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0
5001,Arkansas,2009,4,1,0.25,1,0.25,1,0.25,0,0.0,1,0.25,0,0.0,0,0.0
5001,Arkansas,2010,4,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5
5001,Arkansas,2011,2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5
5001,Arkansas,2012,2,0,0.0,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0
5001,Arkansas,2013,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5
5001,Arkansas,2014,2,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,1,0.5
5001,Arkansas,2015,1,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0
5001,Arkansas,2016,5,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,2,0.4,1,0.2
5001,Arkansas,2017,3,0,0.0,1,0.3333,0,0.0,1,0.3333,0,0.0,1,0.3333,0,0.0
5001,Arkansas,2018,2,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.5
5001,Arkansas,2019,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0
5001,Arkansas,2020,5,1,0.2,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,2,0.4
5001,Arkansas,2021,4,1,0.25,1,0.25,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0
5001,Arkansas,2022,4,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,3,0.75,0,0.0
5001,Arkansas,2023,3,0,0.0,1,0.3333,0,0.0,1,0.3333,0,0.0,0,0.0,1,0.3333
5003,Ashley,2008,5,1,0.2,0,0.0,3,0.6,0,0.0,0,0.0,1,0.2,0,0.0
5003,Ashley,2009,4,1,0.25,1,0.25,0,0.0,0,0.0,1,0.25,1,0.25,0,0.0
5003,Ashley,2010,3,1,0.3333,0,0.0,0,0.0,1,0.3333,1,0.3333,0,0.0,0,0.0
5003,Ashley,2011,3,0,0.0,0,0.0,0,0.0,1,0.3333,1,0.3333,1,0.3333,0,0.0
5003,Ashley,2012,5,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,0,0.0,3,0.6
5003,Ashley,2013,3,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3333,0,0.0
5003,Ashley,2014,5,0,0.0,0,0.0,1,0.2,1,0.2,1,0.2,1,0.2,1,0.2
5003,Ashley,2015,6,1,0.1667,0,0.0,0,0.0,1,0.1667,1,0.1667,2,0.3333,1,0.1667
5003,Ashley,2016,3,1,0.3333,2,0.6667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5003,Ashley,2017,4,1,0.25,1,0.25,1,0.25,0,0.0,1,0.25,0,0.0,0,0.0
5003,Ashley,2018,4,0,0.0,0,0.0,1,0.25,1,0.25,1,0.25,0,0.0,1,0.25
5003,Ashley,2019,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0
5003,Ashley,2020,5,0,0.0,0,0.0,2,0.4,2,0.4,1,0.2,0,0.0,0,0.0
5003,Ashley,2021,4,1,0.25,2,0.5,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0
5003,Ashley,2022,3,0,0.0,0,0.0,1,0.3333,0,0.0,0,0.0,0,0.0,2,0.6667
5003,Ashley,2023,3,0,0.0,2,0.6667,0,0.0,0,0.0,0,0.0,1,0.3333,0,0.0
5005,Baxter,2008,10,1,0.1,3,0.3,0,0.0,3,0.3,1,0.1,1,0.1,1,0.1
5005,Baxter,2009,8,1,0.125,1,0.125,3,0.375,2,0.25,0,0.0,1,0.125,0,0.0
5005,Baxter,2010,7,1,0.1429,2,0.2857,1,0.1429,1,0.1429,0,0.0,0,0.0,2,0.2857
5005,Baxter,2011,5,1,0.2,0,0.0,0,0.0,2,0.4,0,0.0,1,0.2,1,0.2
5005,Baxter,2012,5,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,1,0.2,1,0.2
5005,Baxter,2013,4,0,0.0,0,0.0,0,0.0,1,0.25,0,0.0,2,0.5,1,0.25
5005,Baxter,2014,6,1,0.1667,1,0.1667,0,0.0,1,0.1667,0,0.0,1,0.1667,2,0.3333
5005,Baxter,2015,12,1,0.0833,2,0.1667,1,0.0833,1,0.0833,3,0.25,3,0.25,1,0.0833
5005,Baxter,2016,3,0,0.0,0,0.0,0,0.0,2,0.6667,0,0.0,0,0.0,1,0.3333
5005,Baxter,2017,10,2,0.2,0,0.0,0,0.0,2,0.2,2,0.2,0,0.0,4,0.4
5005,Baxter,2018,5,3,0.6,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,1,0.2
5005,Baxter,2019,8,2,0.25,0,0.0,1,0.125,0,0.0,2,0.25,1,0.125,2,0.25
5005,Baxter,2020,7,1,0.1429,0,0.0,1,0.1429,2,0.2857,0,0.0,1,0.1429,2,0.2857
5005,Baxter,2021,8,2,0.25,0,0.0,0,0.0,2,0.25,2,0.25,0,0.0,2,0.25
5005,Baxter,2022,4,0,0.0,1,0.25,1,0.25,0,0.0,1,0.25,0,0.0,1,0.25
5005,Baxter,2023,6,1,0.1667,1,0.1667,2,0.3333,0,0.0,0,0.0,1,0.1667,1,0.1667
5007,Benton,2008,24,5,0.2083,2,0.0833,2,0.0833,8,0.3333,0,0.0,1,0.0417,6,0.25
5007,Benton,2009,20,1,0.05,5,0.25,2,0.1,0,0.0,5,0.25,3,0.15,4,0.2
5007,Benton,2010,26,4,0.1538,2,0.0769,5,0.1923,1,0.0385,4,0.1538,4,0.1538,6,0.2308
5007,Benton,2011,16,1,0.0625,1,0.0625,5,0.3125,2,0.125,3,0.1875,3,0.1875,1,0.0625
5007,Benton,2012,21,7,0.3333,2,0.0952,1,0.0476,2,0.0952,3,0.1429,3,0.1429,3,0.1429
5007,Benton,2013,17,3,0.1765,1,0.0588,1,0.0588,3,0.1765,3,0.1765,2,0.1176,4,0.2353
5007,Benton,2014,12,2,0.1667,1,0.0833,2,0.1667,1,0.0833,3,0.25,2,0.1667,1,0.0833
5007,Benton,2015,21,3,0.1429,2,0.0952,3,0.1429,5,0.2381,2,0.0952,3,0.1429,3,0.1429
5007,Benton,2016,27,2,0.0741,6,0.2222,3,0.1111,3,0.1111,3,0.1111,3,0.1111,7,0.2593
5007,Benton,2017,15,0,0.0,2,0.1333,3,0.2,1,0.0667,4,0.2667,3,0.2,2,0.1333
5007,Benton,2018,17,3,0.1765,1,0.0588,1,0.0588,0,0.0,3,0.1765,3,0.1765,6,0.3529
5007,Benton,2019,22,1,0.0455,4,0.1818,2,0.0909,3,0.1364,4,0.1818,3,0.1364,5,0.2273
5007,Benton,2020,34,1,0.0294,9,0.2647,4,0.1176,5,0.1471,4,0.1176,3,0.0882,8,0.2353
5007,Benton,2021,30,6,0.2,7,0.2333,4,0.1333,4,0.1333,1,0.0333,3,0.1,5,0.1667
5007,Benton,2022,25,3,0.12,3,0.12,4,0.16,2,0.08,2,0.08,2,0.08,9,0.36
5007,Benton,2023,23,5,0.2174,3,0.1304,4,0.1739,2,0.087,1,0.0435,3,0.1304,5,0.2174
5009,Boone,2008,5,0,0.0,0,0.0,0,0.0,2,0.4,1,0.2,2,0.4,0,0.0
5009,Boone,2009,8,3,0.375,1,0.125,0,0.0,1,0.125,0,0.0,2,0.25,1,0.125
5009,Boone,2010,6,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1667,2,0.3333,3,0.5
5009,Boone,2011,5,0,0.0,1,0.2,1,0.2,0,0.0,0,0.0,2,0.4,1,0.2
5009,Boone,2012,5,0,0.0,0,0.0,1,0.2,1,0.2,1,0.2,2,0.4,0,0.0
