fips,county,year,fatal_crashes,total_fatalities,alcohol_fatal_crashes,alcohol_share,alcohol_flag_source,countywide_wet,first_treated_year,cohort,years_since_treatment,any_wet_neighbor,n_wet_neighbors,share_wet_neighbors,any_wet_area_neighbor,n_neighbors,partial_county,treated_unit,neighbor_unit,clean_control
05001,Arkansas,2008,2,4,0,0.0,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2009,4,5,1,0.25,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2010,4,5,3,0.75,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2011,2,2,0,0.0,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2012,2,2,0,0.0,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2013,2,2,0,0.0,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2014,2,2,2,1.0,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2015,1,1,0,0.0,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2016,5,5,3,0.6,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2017,3,3,1,0.3333333333333333,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2018,2,2,0,0.0,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2019,3,3,1,0.3333333333333333,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2020,5,5,2,0.4,DRUNK_DR,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2021,4,4,2,0.5,DR_DRINK,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2022,4,4,1,0.25,DR_DRINK,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05001,Arkansas,2023,3,3,1,0.3333333333333333,DR_DRINK,1,,0,,1,5,0.7142857142857143,1,7,0,0,1,0
05003,Ashley,2008,5,5,3,0.6,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2009,4,4,1,0.25,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2010,3,3,1,0.3333333333333333,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2011,3,3,0,0.0,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2012,5,6,4,0.8,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2013,3,5,1,0.3333333333333333,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2014,5,5,1,0.2,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2015,6,7,2,0.3333333333333333,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2016,3,3,0,0.0,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2017,4,5,1,0.25,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2018,4,4,1,0.25,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2019,2,2,1,0.5,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2020,5,6,3,0.6,DRUNK_DR,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2021,4,5,1,0.25,DR_DRINK,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2022,3,3,1,0.3333333333333333,DR_DRINK,0,,0,,1,3,0.75,1,4,0,0,1,0
05003,Ashley,2023,3,4,1,0.3333333333333333,DR_DRINK,0,,0,,1,3,0.75,1,4,0,0,1,0
05005,Baxter,2008,10,10,0,0.0,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2009,8,9,2,0.25,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2010,7,7,0,0.0,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2011,5,5,1,0.2,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2012,5,5,2,0.4,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2013,4,4,1,0.25,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2014,6,6,1,0.16666666666666666,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2015,12,12,2,0.16666666666666666,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2016,3,4,0,0.0,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2017,10,11,2,0.2,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2018,5,7,3,0.6,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2019,8,8,2,0.25,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2020,7,8,2,0.2857142857142857,DRUNK_DR,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2021,8,8,3,0.375,DR_DRINK,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2022,4,4,2,0.5,DR_DRINK,1,,0,,1,1,0.2,1,5,0,0,1,0
05005,Baxter,2023,6,7,2,0.3333333333333333,DR_DRINK,1,,0,,1,1,0.2,1,5,0,0,1,0
05007,Benton,2008,24,25,6,0.25,DRUNK_DR,0,2012.0,2012,-4.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2009,20,22,4,0.2,DRUNK_DR,0,2012.0,2012,-3.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2010,26,28,10,0.38461538461538464,DRUNK_DR,0,2012.0,2012,-2.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2011,16,22,3,0.1875,DRUNK_DR,0,2012.0,2012,-1.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2012,21,22,12,0.5714285714285714,DRUNK_DR,1,2012.0,2012,0.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2013,17,18,1,0.058823529411764705,DRUNK_DR,1,2012.0,2012,1.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2014,12,13,2,0.16666666666666666,DRUNK_DR,1,2012.0,2012,2.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2015,21,25,8,0.38095238095238093,DRUNK_DR,1,2012.0,2012,3.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2016,27,30,4,0.14814814814814814,DRUNK_DR,1,2012.0,2012,4.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2017,15,15,4,0.26666666666666666,DRUNK_DR,1,2012.0,2012,5.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2018,17,18,7,0.4117647058823529,DRUNK_DR,1,2012.0,2012,6.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2019,22,23,5,0.22727272727272727,DRUNK_DR,1,2012.0,2012,7.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2020,34,35,13,0.38235294117647056,DRUNK_DR,1,2012.0,2012,8.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2021,30,35,10,0.3333333333333333,DR_DRINK,1,2012.0,2012,9.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2022,25,27,5,0.2,DR_DRINK,1,2012.0,2012,10.0,1,3,1.0,1,3,0,1,0,0
05007,Benton,2023,23,26,7,0.30434782608695654,DR_DRINK,1,2012.0,2012,11.0,1,3,1.0,1,3,0,1,0,0
05009,Boone,2008,5,6,1,0.2,DRUNK_DR,1,2010.0,2010,-2.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2009,8,9,6,0.75,DRUNK_DR,1,2010.0,2010,-1.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2010,6,6,3,0.5,DRUNK_DR,1,2010.0,2010,0.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2011,5,6,1,0.2,DRUNK_DR,1,2010.0,2010,1.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2012,5,5,2,0.4,DRUNK_DR,1,2010.0,2010,2.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2013,5,6,2,0.4,DRUNK_DR,1,2010.0,2010,3.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2014,2,3,0,0.0,DRUNK_DR,1,2010.0,2010,4.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2015,7,9,1,0.14285714285714285,DRUNK_DR,1,2010.0,2010,5.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2016,6,6,1,0.16666666666666666,DRUNK_DR,1,2010.0,2010,6.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2017,8,8,1,0.125,DRUNK_DR,1,2010.0,2010,7.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2018,11,12,3,0.2727272727272727,DRUNK_DR,1,2010.0,2010,8.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2019,5,6,1,0.2,DRUNK_DR,1,2010.0,2010,9.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2020,6,7,1,0.16666666666666666,DRUNK_DR,1,2010.0,2010,10.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2021,12,13,4,0.3333333333333333,DR_DRINK,1,2010.0,2010,11.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2022,6,6,2,0.3333333333333333,DR_DRINK,1,2010.0,2010,12.0,1,2,0.5,1,4,0,1,0,0
05009,Boone,2023,3,3,0,0.0,DR_DRINK,1,2010.0,2010,13.0,1,2,0.5,1,4,0,1,0,0
05011,Bradley,2008,0,0,0,,,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2009,1,1,0,0.0,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2010,2,2,2,1.0,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2011,5,5,4,0.8,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2012,2,2,1,0.5,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2013,4,4,1,0.25,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2014,0,0,0,,,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2015,1,1,0,0.0,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2016,2,2,0,0.0,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2017,1,1,0,0.0,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2018,0,0,0,,,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2019,2,2,1,0.5,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2020,7,13,3,0.42857142857142855,DRUNK_DR,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2021,1,3,0,0.0,DR_DRINK,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2022,3,3,0,0.0,DR_DRINK,0,,0,,1,4,0.8,1,5,0,0,1,0
05011,Bradley,2023,1,1,0,0.0,DR_DRINK,0,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2008,1,1,0,0.0,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2009,4,4,0,0.0,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2010,2,3,0,0.0,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2011,3,3,1,0.3333333333333333,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2012,3,3,1,0.3333333333333333,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2013,2,3,1,0.5,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2014,3,3,1,0.3333333333333333,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2015,1,1,0,0.0,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2016,0,0,0,,,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2017,0,0,0,,,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2018,2,2,0,0.0,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2019,3,3,1,0.3333333333333333,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2020,2,2,1,0.5,DRUNK_DR,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2021,5,5,0,0.0,DR_DRINK,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2022,5,5,0,0.0,DR_DRINK,1,,0,,1,4,0.8,1,5,0,0,1,0
05013,Calhoun,2023,0,0,0,,,1,,0,,1,4,0.8,1,5,0,0,1,0
05015,Carroll,2008,11,11,3,0.2727272727272727,DRUNK_DR,1,,0,,1,2,0.5,1,4,0,0,1,0
05015,Carroll,2009,9,10,5,0.5555555555555556,DRUNK_DR,1,,0,,1,2,0.5,1,4,0,0,1,0
05015,Carroll,2010,9,11,5,0.5555555555555556,DRUNK_DR,1,,0,,1,2,0.5,1,4,0,0,1,0
05015,Carroll,2011,10,11,6,0.6,DRUNK_DR,1,,0,,1,2,0.5,1,4,0,0,1,0
05015,Carroll,2012,8,8,1,0.125,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2013,8,8,0,0.0,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2014,3,4,0,0.0,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2015,13,13,6,0.46153846153846156,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2016,9,14,2,0.2222222222222222,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2017,9,11,4,0.4444444444444444,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2018,9,11,4,0.4444444444444444,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2019,3,4,1,0.3333333333333333,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2020,10,10,3,0.3,DRUNK_DR,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2021,4,4,1,0.25,DR_DRINK,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2022,5,5,0,0.0,DR_DRINK,1,,0,,1,3,0.75,1,4,0,0,1,0
05015,Carroll,2023,7,9,2,0.2857142857142857,DR_DRINK,1,,0,,1,3,0.75,1,4,0,0,1,0
05017,Chicot,2008,3,3,1,0.3333333333333333,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2009,4,5,1,0.25,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2010,2,2,1,0.5,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2011,3,3,3,1.0,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2012,4,6,1,0.25,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2013,0,0,0,,,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2014,2,2,0,0.0,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2015,6,8,0,0.0,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2016,7,10,1,0.14285714285714285,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2017,4,5,2,0.5,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2018,2,2,0,0.0,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2019,5,5,2,0.4,DRUNK_DR,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2020,0,0,0,,,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2021,3,4,0,0.0,DR_DRINK,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2022,3,8,1,0.3333333333333333,DR_DRINK,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05017,Chicot,2023,4,6,2,0.5,DR_DRINK,1,,0,,1,2,0.6666666666666666,1,3,0,0,1,0
05019,Clark,2008,4,4,0,0.0,DRUNK_DR,1,2010.0,2010,-2.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2009,7,7,2,0.2857142857142857,DRUNK_DR,1,2010.0,2010,-1.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2010,6,9,2,0.3333333333333333,DRUNK_DR,1,2010.0,2010,0.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2011,3,3,1,0.3333333333333333,DRUNK_DR,1,2010.0,2010,1.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2012,5,5,2,0.4,DRUNK_DR,1,2010.0,2010,2.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2013,5,6,0,0.0,DRUNK_DR,1,2010.0,2010,3.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2014,7,7,3,0.42857142857142855,DRUNK_DR,1,2010.0,2010,4.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2015,3,3,0,0.0,DRUNK_DR,1,2010.0,2010,5.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2016,2,2,1,0.5,DRUNK_DR,1,2010.0,2010,6.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2017,5,6,1,0.2,DRUNK_DR,1,2010.0,2010,7.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2018,8,8,5,0.625,DRUNK_DR,1,2010.0,2010,8.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2019,5,8,2,0.4,DRUNK_DR,1,2010.0,2010,9.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2020,4,6,1,0.25,DRUNK_DR,1,2010.0,2010,10.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2021,10,13,2,0.2,DR_DRINK,1,2010.0,2010,11.0,1,2,0.3333333333333333,1,6,0,1,0,0
05019,Clark,2022,6,6,0,0.0,DR_DRINK,1,2010.0,2010,12.0,1,3,0.5,1,6,0,1,0,0
05019,Clark,2023,6,7,2,0.3333333333333333,DR_DRINK,1,2010.0,2010,13.0,1,3,0.5,1,6,0,1,0,0
05021,Clay,2008,2,2,0,0.0,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2009,2,2,1,0.5,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2010,5,5,2,0.4,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2011,6,9,0,0.0,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2012,2,2,1,0.5,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2013,0,0,0,,,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2014,4,4,1,0.25,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2015,6,6,3,0.5,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2016,5,7,0,0.0,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2017,5,5,1,0.2,DRUNK_DR,0,,0,,1,1,0.5,1,2,0,0,1,0
05021,Clay,2018,5,7,2,0.4,DRUNK_DR,0,,0,,1,2,1.0,1,2,0,0,1,0
05021,Clay,2019,2,2,1,0.5,DRUNK_DR,0,,0,,1,2,1.0,1,2,0,0,1,0
05021,Clay,2020,1,1,0,0.0,DRUNK_DR,0,,0,,1,2,1.0,1,2,0,0,1,0
05021,Clay,2021,7,8,1,0.14285714285714285,DR_DRINK,0,,0,,1,2,1.0,1,2,0,0,1,0
05021,Clay,2022,3,3,1,0.3333333333333333,DR_DRINK,0,,0,,1,2,1.0,1,2,0,0,1,0
05021,Clay,2023,1,1,0,0.0,DR_DRINK,0,,0,,1,2,1.0,1,2,0,0,1,0
05023,Cleburne,2008,6,6,1,0.16666666666666666,DRUNK_DR,0,,0,,0,0,0.0,0,5,0,0,1,0
05023,Cleburne,2009,4,4,1,0.25,DRUNK_DR,0,,0,,0,0,0.0,0,5,0,0,1,0
