st_case,fips,county_fips_3,year,month,day,day_week,hour,drunk_dr,alcohol_flag_source,fatals,persons,is_alcohol,is_weekend,is_night
50001,5027,27,2008,1,1,3,3,1,DRUNK_DR,1,1,1,0,1
50003,5043,43,2008,1,2,4,8,0,DRUNK_DR,1,1,0,0,0
50004,5139,139,2008,1,2,4,11,0,DRUNK_DR,1,2,0,0,0
50005,5017,17,2008,1,3,5,10,0,DRUNK_DR,1,2,0,0,0
50006,5119,119,2008,1,4,6,3,1,DRUNK_DR,1,2,1,0,1
50007,5141,141,2008,1,4,6,15,0,DRUNK_DR,1,6,0,0,0
50008,5119,119,2008,1,4,6,21,0,DRUNK_DR,1,2,0,0,1
50009,5093,93,2008,1,5,7,16,0,DRUNK_DR,1,5,0,1,0
50010,5085,85,2008,1,5,7,17,0,DRUNK_DR,1,6,0,1,0
50011,5031,31,2008,1,8,3,22,1,DRUNK_DR,1,1,1,0,1
50012,5135,135,2008,1,9,4,11,0,DRUNK_DR,1,3,0,0,0
50013,5085,85,2008,1,10,5,18,1,DRUNK_DR,1,3,1,0,0
50014,5081,81,2008,1,12,7,4,1,DRUNK_DR,1,1,1,1,1
50015,5089,89,2008,1,12,7,21,1,DRUNK_DR,1,3,1,1,1
50016,5119,119,2008,1,14,2,16,1,DRUNK_DR,1,2,1,0,0
50017,5069,69,2008,1,14,2,22,0,DRUNK_DR,1,2,0,0,1
50018,5109,109,2008,1,16,4,15,0,DRUNK_DR,1,2,0,0,0
50019,5119,119,2008,1,16,4,18,0,DRUNK_DR,2,3,0,0,0
50020,5107,107,2008,1,16,4,21,1,DRUNK_DR,1,1,1,0,1
50021,5119,119,2008,1,16,4,22,1,DRUNK_DR,1,1,1,0,1
50022,5051,51,2008,1,17,5,16,0,DRUNK_DR,1,2,0,0,0
50023,5057,57,2008,1,18,6,11,0,DRUNK_DR,1,2,0,0,0
50024,5143,143,2008,1,22,3,0,1,DRUNK_DR,1,4,1,0,1
50025,5035,35,2008,1,22,3,9,0,DRUNK_DR,1,1,0,0,0
50026,5131,131,2008,1,25,6,2,0,DRUNK_DR,1,1,0,0,1
50027,5139,139,2008,1,25,6,5,0,DRUNK_DR,1,7,0,0,1
50028,5019,19,2008,1,25,6,8,0,DRUNK_DR,1,2,0,0,0
50029,5035,35,2008,1,25,6,23,0,DRUNK_DR,2,8,0,0,1
50030,5045,45,2008,1,26,7,4,1,DRUNK_DR,1,1,1,1,1
50031,5119,119,2008,1,26,7,23,1,DRUNK_DR,1,2,1,1,1
50032,5145,145,2008,1,27,1,4,1,DRUNK_DR,1,1,1,1,1
50033,5103,103,2008,1,27,1,5,1,DRUNK_DR,1,1,1,1,1
50034,5117,117,2008,1,28,2,17,0,DRUNK_DR,1,1,0,0,0
50035,5015,15,2008,1,29,3,6,0,DRUNK_DR,1,1,0,0,0
50036,5021,21,2008,1,29,3,13,0,DRUNK_DR,1,2,0,0,0
50037,5045,45,2008,1,29,3,14,1,DRUNK_DR,1,3,1,0,0
50038,5121,121,2008,1,30,4,21,0,DRUNK_DR,1,2,0,0,1
50039,5113,113,2008,1,31,5,13,0,DRUNK_DR,2,3,0,0,0
50040,5119,119,2008,1,30,4,5,0,DRUNK_DR,1,2,0,0,1
50041,5107,107,2008,1,3,5,7,0,DRUNK_DR,1,2,0,0,0
50042,5131,131,2008,2,2,7,11,0,DRUNK_DR,1,4,0,1,0
50043,5031,31,2008,2,2,7,15,1,DRUNK_DR,1,3,1,1,0
50044,5143,143,2008,2,4,2,2,1,DRUNK_DR,1,1,1,0,1
50045,5033,33,2008,2,4,2,10,0,DRUNK_DR,1,2,0,0,0
50046,5069,69,2008,2,5,3,22,1,DRUNK_DR,1,1,1,0,1
50047,5069,69,2008,2,6,4,2,1,DRUNK_DR,4,5,1,0,1
50048,5007,7,2008,2,6,4,6,0,DRUNK_DR,1,2,0,0,0
50049,5143,143,2008,2,6,4,5,0,DRUNK_DR,1,1,0,0,1
50050,5107,107,2008,2,7,5,12,0,DRUNK_DR,1,2,0,0,0
50051,5009,9,2008,2,8,6,18,0,DRUNK_DR,2,4,0,0,0
50052,5059,59,2008,2,9,7,2,0,DRUNK_DR,1,2,0,1,1
50053,5031,31,2008,2,9,7,8,0,DRUNK_DR,1,2,0,1,0
50054,5119,119,2008,2,10,1,4,1,DRUNK_DR,1,4,1,1,1
50055,5051,51,2008,2,10,1,14,0,DRUNK_DR,1,1,0,1,0
50056,5005,5,2008,2,11,2,7,0,DRUNK_DR,1,3,0,0,0
50057,5119,119,2008,2,11,2,19,0,DRUNK_DR,1,2,0,0,0
50058,5053,53,2008,2,13,4,17,0,DRUNK_DR,1,2,0,0,0
50059,5131,131,2008,2,14,5,6,0,DRUNK_DR,1,2,0,0,0
50060,5067,67,2008,2,16,7,2,0,DRUNK_DR,1,2,0,1,1
50061,5051,51,2008,2,16,7,6,1,DRUNK_DR,1,1,1,1,0
50062,5043,43,2008,2,16,7,11,0,DRUNK_DR,1,1,0,1,0
50063,5007,7,2008,2,16,7,21,1,DRUNK_DR,1,2,1,1,1
