fips,county,cohort,pre_year,dist_instate_preyr,dist_aug_preyr,nearest_wet_is_oos_preyr,nearest_wet_fips_preyr
05009,Boone,2010,2009,22.929,22.929,0,05089
05019,Clark,2010,2009,30.069,30.069,0,05039
05007,Benton,2012,2011,25.029,20.813,1,29119
05135,Sharp,2012,2011,41.805,36.546,1,29149
05027,Columbia,2014,2013,32.847,30.146,1,22027
05125,Saline,2014,2013,22.213,22.213,0,05119
05081,Little River,2016,2015,33.215,20.723,1,48037
05121,Randolph,2018,2017,28.342,23.284,1,29181
05133,Sevier,2020,2019,20.712,20.712,0,05081
05141,Van Buren,2020,2019,24.17,24.17,0,05029
05059,Hot Spring,2022,2021,21.157,21.157,0,05051
05113,Polk,2022,2021,33.611,33.611,0,05133
