fips,lon,lat,pop,name
05001,-91.460834,34.403488,17149,Arkansas
05003,-91.877908,33.17959,19062,Ashley
05005,-92.383935,36.331791,41627,Baxter
05007,-94.230342,36.335056,284333,Benton
05009,-93.098769,36.266608,37373,Boone
05011,-92.101277,33.574422,10545,Bradley
05013,-92.500683,33.585989,4739,Calhoun
05015,-93.574712,36.375744,28260,Carroll
05017,-91.318357,33.325951,10208,Chicot
05019,-93.123962,34.099325,21446,Clark
05021,-90.366417,36.370287,14552,Clay
05023,-92.037753,35.507218,24711,Cleburne
05025,-92.136375,33.912967,7550,Cleveland
05027,-93.247178,33.258766,22801,Columbia
05029,-92.705923,35.21299,20715,Conway
05031,-90.669235,35.835762,111231,Craighead
05033,-94.285922,35.494096,60133,Crawford
05035,-90.213521,35.176704,48163,Crittenden
05037,-90.777424,35.251667,16833,Cross
05039,-92.525216,33.864882,6482,Dallas
05041,-91.415165,33.768029,11395,Desha
05043,-91.784085,33.627329,17350,Drew
05045,-92.406071,35.105697,123498,Faulkner
05047,-93.891039,35.442155,17097,Franklin
05049,-91.766807,36.375654,12075,Fulton
05051,-93.080729,34.505767,100180,Garland
05053,-92.412583,34.311672,17958,Grant
05055,-90.522562,36.071536,45736,Greene
05057,-93.620782,33.698177,20065,Hempstead
05059,-92.895511,34.353569,33040,Hot Spring
05061,-93.908938,33.981466,12785,Howard
05063,-91.607338,35.750729,37938,Independence
05065,-91.911716,36.1215,13577,Izard
05067,-91.246504,35.623062,16755,Jackson
05069,-92.045118,34.234814,67260,Jefferson
05071,-93.473125,35.476548,25749,Johnson
05073,-93.557713,33.278875,6308,Lafayette
05075,-91.064441,36.070844,16216,Lawrence
05077,-90.769631,34.787429,8600,Lee
05079,-91.745899,33.973433,12941,Lincoln
05081,-94.198663,33.700349,12026,Little River
05083,-93.768311,35.227664,21131,Logan
05085,-91.973917,34.916983,74015,Lonoke
05087,-93.757685,36.062896,16521,Madison
05089,-92.660219,36.284395,16826,Marion
05091,-93.987198,33.402394,42600,Miller
05093,-90.001606,35.843368,40685,Mississippi
05095,-91.221516,34.777063,6799,Monroe
05097,-93.622447,34.514568,8484,Montgomery
05099,-93.359433,33.725543,8310,Nevada
05101,-93.165658,35.982591,7225,Newton
05103,-92.838686,33.573847,22650,Ouachita
05105,-92.777667,34.998711,10019,Perry
05107,-90.703802,34.530919,16568,Phillips
05109,-93.626194,34.186355,10171,Pike
05111,-90.558401,35.604751,22965,Poinsett
05113,-94.25793,34.522847,19221,Polk
05115,-93.096833,35.309054,63381,Pope
05117,-91.540516,34.863817,8282,Prairie
05119,-92.315081,34.775246,399125,Pulaski
05121,-90.989599,36.302137,18571,Randolph
05123,-90.774948,35.016355,23090,St. Francis
05125,-92.546119,34.596991,123416,Saline
05127,-94.097007,34.904224,9836,Scott
05129,-92.660663,35.923072,7828,Searcy
05131,-94.354788,35.318718,127799,Sebastian
05133,-94.30378,34.015316,15839,Sevier
05135,-91.51953,36.178093,17271,Sharp
05137,-92.133812,35.855715,12359,Stone
