term,coef,se
t_2008_2009,3.8,1.151520733638782
t_2009_2010,-1.8,1.243382483389564
t_2009_2011,-2.8,1.481890684227416
t_2009_2012,-1.75,1.548688961670483
t_2009_2013,-3.125,.8373600629358914
t_2009_2014,-2.666666666666667,2.545875386086578
t_2009_2015,-4.166666666666667,1.152694106735913
t_2009_2016,-2.6,1.458766602304837
t_2009_2017,-2.6,1.458766602304837
t_2009_2018,.25,2.161452058223823
t_2009_2019,-2.75,1.88331489666492
t_2009_2020,-2.5,1.457737973711325
t_2008_2009,-.875,.8738832158818477
t_2009_2010,4,1.785357107135713
t_2010_2011,-3.75,2.517128820700283
t_2011_2012,4.5,3.201562118716424
t_2011_2013,-.875,1.185030326616159
t_2011_2014,-1.333333333333333,.769800358919501
t_2011_2015,2.166666666666667,1.588442050610644
t_2011_2016,1.2,.593295878967653
t_2011_2017,1.2,.7155417527999327
t_2011_2018,1.25,1.849831073368593
t_2011_2019,.75,1.023169096484056
t_2011_2020,5,3.201562118716424
t_2008_2009,.8333333333333331,.742243845327077
t_2009_2010,0,.4714045207910317
t_2010_2011,-.3333333333333335,1.46565621758588
t_2011_2012,.6666666666666666,.5610836076867821
t_2012_2013,.1666666666666666,1.152694106735913
t_2013_2014,-2.166666666666667,.6419011115717412
t_2013_2015,-2.166666666666667,.7038255255177737
t_2013_2016,-2.3,.8927485648266257
t_2013_2017,-1.3,1.147606204235582
t_2013_2018,-2.5,.5590169943749473
t_2013_2019,-2.5,1.457737973711325
t_2013_2020,.5,1.060660171779821
t_2008_2009,-2,.6928203230275508
t_2009_2010,-.6,.3577708763999664
t_2010_2011,.8000000000000002,.4381780460041328
t_2011_2012,-1,.4898979485566356
t_2012_2013,2,.4
t_2013_2014,-2.6,.6066300355241241
t_2014_2015,.6,.3577708763999664
t_2015_2016,2.2,.7694153624668537
t_2015_2017,1.2,.4381780460041328
t_2015_2018,1.25,.414578098794425
t_2015_2019,.7500000000000001,.5448623679425842
t_2015_2020,3.5,1.060660171779821
t_2008_2009,1.25,.81967981553775
t_2009_2010,-.75,.414578098794425
t_2010_2011,2.25,.2165063509461096
t_2011_2012,-2.5,.25
t_2012_2013,-1.25,.414578098794425
t_2013_2014,.5,.75
t_2014_2015,.75,.414578098794425
t_2015_2016,1.5,.9013878188659973
t_2016_2017,-1.25,.739509972887452
t_2017_2018,-1,.6123724356957945
t_2017_2019,-1.5,.82915619758885
t_2017_2020,0,0
t_2008_2009,2.5,1.060660171779821
t_2009_2010,.5,.7905694150420949
t_2010_2011,.5,.3535533905932738
t_2011_2012,0,.5
t_2012_2013,-1.5,.3535533905932738
t_2013_2014,-1,1.414213562373095
t_2014_2015,-.5,.7905694150420949
t_2015_2016,3,1
t_2016_2017,-2.5,.7905694150420949
t_2017_2018,1,1.118033988749895
t_2018_2019,0,1.118033988749895
t_2019_2020,1,1.414213562373095
t_2008_2009,0,0
t_2009_2010,0,0
t_2010_2011,0,0
t_2011_2012,0,0
t_2012_2013,0,0
t_2013_2014,0,0
t_2014_2015,0,0
t_2015_2016,0,0
t_2016_2017,0,0
t_2017_2018,0,0
t_2018_2019,0,0
t_2019_2020,0,0
w2010_2009,.0166666666666667,.0107582870727965
w2010_2010,.0166666666666667,.0107582870727965
w2010_2011,.0166666666666667,.0107582870727965
w2010_2012,.0166666666666667,.0107582870727965
w2010_2013,.0166666666666667,.0107582870727965
w2010_2014,.0166666666666667,.0107582870727965
w2010_2015,.0166666666666667,.0107582870727965
w2010_2016,.0166666666666667,.0107582870727965
w2010_2017,.0166666666666667,.0107582870727965
w2010_2018,.0166666666666667,.0107582870727965
w2010_2019,.0166666666666667,.0107582870727965
w2010_2020,.0166666666666667,.0107582870727965
w2012_2009,.0166666666666667,.0107582870727965
w2012_2010,.0166666666666667,.0107582870727965
w2012_2011,.0166666666666667,.0107582870727965
w2012_2012,.0166666666666667,.0107582870727965
w2012_2013,.0166666666666667,.0107582870727965
w2012_2014,.0166666666666667,.0107582870727965
w2012_2015,.0166666666666667,.0107582870727965
w2012_2016,.0166666666666667,.0107582870727965
w2012_2017,.0166666666666667,.0107582870727965
w2012_2018,.0166666666666667,.0107582870727965
w2012_2019,.0166666666666667,.0107582870727965
w2012_2020,.0166666666666667,.0107582870727965
w2014_2009,.0166666666666667,.0107582870727965
w2014_2010,.0166666666666667,.0107582870727965
w2014_2011,.0166666666666667,.0107582870727965
w2014_2012,.0166666666666667,.0107582870727965
w2014_2013,.0166666666666667,.0107582870727965
w2014_2014,.0166666666666667,.0107582870727965
w2014_2015,.0166666666666667,.0107582870727965
w2014_2016,.0166666666666667,.0107582870727965
w2014_2017,.0166666666666667,.0107582870727965
w2014_2018,.0166666666666667,.0107582870727965
w2014_2019,.0166666666666667,.0107582870727965
w2014_2020,.0166666666666667,.0107582870727965
w2016_2009,.0083333333333333,.0079785592313024
w2016_2010,.0083333333333333,.0079785592313024
w2016_2011,.0083333333333333,.0079785592313024
w2016_2012,.0083333333333333,.0079785592313024
w2016_2013,.0083333333333333,.0079785592313024
w2016_2014,.0083333333333333,.0079785592313024
w2016_2015,.0083333333333333,.0079785592313024
w2016_2016,.0083333333333333,.0079785592313024
w2016_2017,.0083333333333333,.0079785592313024
w2016_2018,.0083333333333333,.0079785592313024
w2016_2019,.0083333333333333,.0079785592313024
w2016_2020,.0083333333333333,.0079785592313024
w2018_2009,.0083333333333333,.0079785592313024
w2018_2010,.0083333333333333,.0079785592313024
w2018_2011,.0083333333333333,.0079785592313024
w2018_2012,.0083333333333333,.0079785592313024
w2018_2013,.0083333333333333,.0079785592313024
w2018_2014,.0083333333333333,.0079785592313024
w2018_2015,.0083333333333333,.0079785592313024
w2018_2016,.0083333333333333,.0079785592313024
w2018_2017,.0083333333333333,.0079785592313024
w2018_2018,.0083333333333333,.0079785592313024
w2018_2019,.0083333333333333,.0079785592313024
w2018_2020,.0083333333333333,.0079785592313024
w2020_2009,.0166666666666667,.0107582870727965
w2020_2010,.0166666666666667,.0107582870727965
w2020_2011,.0166666666666667,.0107582870727965
w2020_2012,.0166666666666667,.0107582870727965
w2020_2013,.0166666666666667,.0107582870727965
w2020_2014,.0166666666666667,.0107582870727965
w2020_2015,.0166666666666667,.0107582870727965
w2020_2016,.0166666666666667,.0107582870727965
w2020_2017,.0166666666666667,.0107582870727965
w2020_2018,.0166666666666667,.0107582870727965
w2020_2019,.0166666666666667,.0107582870727965
w2020_2020,.0166666666666667,.0107582870727965
w2022_2009,0,0
w2022_2010,0,0
w2022_2011,0,0
w2022_2012,0,0
w2022_2013,0,0
w2022_2014,0,0
w2022_2015,0,0
w2022_2016,0,0
w2022_2017,0,0
w2022_2018,0,0
w2022_2019,0,0
w2022_2020,0,0
