term,coef,se
t_2008_2009,4.2,.6449806198638839
t_2009_2010,-2.9,.87692645073575
t_2009_2011,-4,1.212435565298214
t_2009_2012,-2.5,.7905694150420949
t_2009_2013,-4,.9013878188659973
t_2009_2014,-4.833333333333333,2.338288389526106
t_2009_2015,-3.666666666666667,1.484487690654154
t_2009_2016,-3.9,1.735799527595281
t_2009_2017,-1.8,.9230384607371461
t_2009_2018,3,.7905694150420949
t_2009_2019,-1.5,1.224744871391589
t_2009_2020,.5,1.457737973711325
t_2008_2009,-1,1.58113883008419
t_2009_2010,4.5,.9842509842514764
t_2010_2011,-5.750000000000001,3.352937145250415
t_2011_2012,4.75,1.195695404356812
t_2011_2013,-.75,1.765555861478192
t_2011_2014,-4.666666666666667,1.694216742441879
t_2011_2015,1.5,3.034523576005521
t_2011_2016,6.899999999999999,4.110109487592758
t_2011_2017,2,2.596150997149434
t_2011_2018,2.25,1.672386020032457
t_2011_2019,5.75,2.858649156507318
t_2011_2020,10,6.403124237432849
t_2008_2009,2.666666666666667,1.539600717839002
t_2009_2010,-.6666666666666665,1.610152971798827
t_2010_2011,1,2.438123139721299
t_2011_2012,-1.666666666666666,1.820663289797104
t_2012_2013,2.666666666666667,2.815302102071096
t_2013_2014,-4.166666666666667,2.320400667828567
t_2013_2015,-3.5,1.419115530493867
t_2013_2016,-5.8,4.421764353739353
t_2013_2017,-6.7,3.532279717123207
t_2013_2018,-5.25,3.559757716474536
t_2013_2019,-1.75,2.769814975770042
t_2013_2020,2.5,3.259601202601325
t_2008_2009,3.2,.4381780460041329
t_2009_2010,-4.4,.4560701700396551
t_2010_2011,3.6,1.283744522870497
t_2011_2012,-2,1.32664991614216
t_2012_2013,6.2,1.145425685062108
t_2013_2014,-8,1.058300524425836
t_2014_2015,3.200000000000001,1.368210510118965
t_2015_2016,1,1.414213562373095
t_2015_2017,-1.4,1.663730747446833
t_2015_2018,2,1.695582495781317
t_2015_2019,3,1.837117307087384
t_2015_2020,5.5,1.060660171779821
t_2008_2009,.25,.5448623679425842
t_2009_2010,-1.75,.414578098794425
t_2010_2011,2,1.541103500742244
t_2011_2012,-1.25,1.634587103827753
t_2012_2013,-4.75,.9601432184835759
t_2013_2014,5,.7071067811865476
t_2014_2015,-2.25,1.634587103827753
t_2015_2016,0,1.767766952966369
t_2016_2017,5.75,1.634587103827753
t_2017_2018,1.25,.2165063509461096
t_2017_2019,-3.75,1.340475661845451
t_2017_2020,-3,2.121320343559642
t_2008_2009,1.5,.7905694150420949
t_2009_2010,.5,.7905694150420949
t_2010_2011,5,1.802775637731995
t_2011_2012,-5.5,1.767766952966369
t_2012_2013,.5,1.903943276465977
t_2013_2014,-2,1
t_2014_2015,-3.5,2.761340254296815
t_2015_2016,5,2.5
t_2016_2017,.5,3.259601202601325
t_2017_2018,.5,.3535533905932738
t_2018_2019,1,2.5
t_2019_2020,3.5,1.767766952966369
t_2008_2009,0,0
t_2009_2010,0,0
t_2010_2011,0,0
t_2011_2012,0,0
t_2012_2013,0,0
t_2013_2014,0,0
t_2014_2015,0,0
t_2015_2016,0,0
t_2016_2017,0,0
t_2017_2018,0,0
t_2018_2019,0,0
t_2019_2020,0,0
w2010_2009,.0166666666666667,.0107582870727965
w2010_2010,.0166666666666667,.0107582870727965
w2010_2011,.0166666666666667,.0107582870727965
w2010_2012,.0166666666666667,.0107582870727965
w2010_2013,.0166666666666667,.0107582870727965
w2010_2014,.0166666666666667,.0107582870727965
w2010_2015,.0166666666666667,.0107582870727965
w2010_2016,.0166666666666667,.0107582870727965
w2010_2017,.0166666666666667,.0107582870727965
w2010_2018,.0166666666666667,.0107582870727965
w2010_2019,.0166666666666667,.0107582870727965
w2010_2020,.0166666666666667,.0107582870727965
w2012_2009,.0166666666666667,.0107582870727965
w2012_2010,.0166666666666667,.0107582870727965
w2012_2011,.0166666666666667,.0107582870727965
w2012_2012,.0166666666666667,.0107582870727965
w2012_2013,.0166666666666667,.0107582870727965
w2012_2014,.0166666666666667,.0107582870727965
w2012_2015,.0166666666666667,.0107582870727965
w2012_2016,.0166666666666667,.0107582870727965
w2012_2017,.0166666666666667,.0107582870727965
w2012_2018,.0166666666666667,.0107582870727965
w2012_2019,.0166666666666667,.0107582870727965
w2012_2020,.0166666666666667,.0107582870727965
w2014_2009,.0166666666666667,.0107582870727965
w2014_2010,.0166666666666667,.0107582870727965
w2014_2011,.0166666666666667,.0107582870727965
w2014_2012,.0166666666666667,.0107582870727965
w2014_2013,.0166666666666667,.0107582870727965
w2014_2014,.0166666666666667,.0107582870727965
w2014_2015,.0166666666666667,.0107582870727965
w2014_2016,.0166666666666667,.0107582870727965
w2014_2017,.0166666666666667,.0107582870727965
w2014_2018,.0166666666666667,.0107582870727965
w2014_2019,.0166666666666667,.0107582870727965
w2014_2020,.0166666666666667,.0107582870727965
w2016_2009,.0083333333333333,.0079785592313024
w2016_2010,.0083333333333333,.0079785592313024
w2016_2011,.0083333333333333,.0079785592313024
w2016_2012,.0083333333333333,.0079785592313024
w2016_2013,.0083333333333333,.0079785592313024
w2016_2014,.0083333333333333,.0079785592313024
w2016_2015,.0083333333333333,.0079785592313024
w2016_2016,.0083333333333333,.0079785592313024
w2016_2017,.0083333333333333,.0079785592313024
w2016_2018,.0083333333333333,.0079785592313024
w2016_2019,.0083333333333333,.0079785592313024
w2016_2020,.0083333333333333,.0079785592313024
w2018_2009,.0083333333333333,.0079785592313024
w2018_2010,.0083333333333333,.0079785592313024
w2018_2011,.0083333333333333,.0079785592313024
w2018_2012,.0083333333333333,.0079785592313024
w2018_2013,.0083333333333333,.0079785592313024
w2018_2014,.0083333333333333,.0079785592313024
w2018_2015,.0083333333333333,.0079785592313024
w2018_2016,.0083333333333333,.0079785592313024
w2018_2017,.0083333333333333,.0079785592313024
w2018_2018,.0083333333333333,.0079785592313024
w2018_2019,.0083333333333333,.0079785592313024
w2018_2020,.0083333333333333,.0079785592313024
w2020_2009,.0166666666666667,.0107582870727965
w2020_2010,.0166666666666667,.0107582870727965
w2020_2011,.0166666666666667,.0107582870727965
w2020_2012,.0166666666666667,.0107582870727965
w2020_2013,.0166666666666667,.0107582870727965
w2020_2014,.0166666666666667,.0107582870727965
w2020_2015,.0166666666666667,.0107582870727965
w2020_2016,.0166666666666667,.0107582870727965
w2020_2017,.0166666666666667,.0107582870727965
w2020_2018,.0166666666666667,.0107582870727965
w2020_2019,.0166666666666667,.0107582870727965
w2020_2020,.0166666666666667,.0107582870727965
w2022_2009,0,0
w2022_2010,0,0
w2022_2011,0,0
w2022_2012,0,0
w2022_2013,0,0
w2022_2014,0,0
w2022_2015,0,0
w2022_2016,0,0
w2022_2017,0,0
w2022_2018,0,0
w2022_2019,0,0
w2022_2020,0,0
