term,coef,se
t_2008_2009,4.203703703703703,1.667774170972498
t_2009_2010,-4.916666666666667,1.479592256052354
t_2010_2011,.5833333333333336,.9165614417720231
t_2011_2012,-.2592592592592595,1.673775040969118
t_2011_2013,.6944444444444443,1.658090503414266
t_2011_2014,.989130434782609,1.37248250897618
t_2011_2015,-.5217391304347828,1.498338166036326
t_2011_2016,.5595238095238096,1.735996756842858
t_2011_2017,-.8333333333333334,1.284151754818281
t_2011_2018,1.9,2.433772791367345
t_2011_2019,2.55,1.197862679942906
t_2011_2020,1.65,1.811717263936193
t_2011_2021,1.683333333333333,1.295899873246958
t_2011_2022,.0833333333333333,1.743871544283857
t_2011_2023,-.6666666666666665,1.784708711578779
t_2008_2009,3.173913043478261,1.041827814169998
t_2009_2010,1.858695652173913,.8979341295867326
t_2010_2011,-1.076086956521739,1.127589414698476
t_2011_2012,-1.771739130434783,1.343901020746288
t_2012_2013,1.41304347826087,1.380401291587244
t_2013_2014,-1.402173913043478,.8299557761515894
t_2013_2015,-1.663043478260869,.8003696711544122
t_2013_2016,-1.035714285714286,.8861911021795008
t_2013_2017,-1.678571428571429,.9407802186616558
t_2013_2018,-.6999999999999998,1.067941945987702
t_2013_2019,-.2999999999999999,.7869243928103894
t_2013_2020,-2.95,.9224288590455093
t_2013_2021,-1.916666666666667,1.159511790622499
t_2013_2022,-2.916666666666667,1.208812165661751
t_2013_2023,-.6666666666666671,1.494589005812734
t_2008_2009,.1904761904761903,.5022355809490114
t_2009_2010,.6666666666666666,.7805264033742378
t_2010_2011,2.928571428571429,1.395870047962965
t_2011_2012,-5.5,2.007991403980119
t_2012_2013,2.095238095238095,1.680763191707136
t_2013_2014,-1.80952380952381,.8956155425663311
t_2014_2015,5.190476190476191,.9156464269709711
t_2015_2016,-3.166666666666667,.846215620746369
t_2015_2017,-5.809523809523809,.9131665958807382
t_2015_2018,-3.85,1.28700233100022
t_2015_2019,-2.2,1.913243319601561
t_2015_2020,-2.433333333333333,1.493777215775623
t_2015_2021,-7.9,1.535831298605995
t_2015_2022,-8.166666666666666,1.223799487328372
t_2015_2023,-.9166666666666669,1.672732019005856
t_2008_2009,1.25,.5238081709939241
t_2009_2010,2.8,.808084154033477
t_2010_2011,1.5,.95
t_2011_2012,-5.25,.9666307464590602
t_2012_2013,.0999999999999999,.9536770941990795
t_2013_2014,3.35,.5535115174953454
t_2014_2015,2.3,.600416522091123
t_2015_2016,-1.75,.8027297179001162
t_2016_2017,-.15,.6681130143920263
t_2017_2018,.5500000000000003,.5633604529961258
t_2017_2019,-1.8,.8111719916269299
t_2017_2020,-5.066666666666666,.9307901860088398
t_2017_2021,.4666666666666665,.770954194729084
t_2017_2022,-4,.9646530752325186
t_2017_2023,-3.25,1.161446655397196
t_2008_2009,-1,1.119523708249778
t_2009_2010,3.2,1.520818493078279
t_2010_2011,.1333333333333334,2.57382839221899
t_2011_2012,.2000000000000005,2.665999916645827
