parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-1.89596574204512,1.441740640422576,-1.315053268866313,.1884920004632397,-4.721725472321081,.9297939882308413
Post_avg,Post_avg,-7.392709564330533,2.583851843524815,-2.861119759190843,.0042214755424196,-12.45696611902659,-2.328453009634474
Tm10,-10,-2.263630777155802,1.618872242681212,-1.398276354041827,.1620300957617472,-5.436562068382563,.90930051407096
Tm9,-9,2.01553750947022,1.516943013067875,1.328683735715283,.1839523330127144,-.9576161627424864,4.988691181682928
Tm8,-8,-2.52435499120913,3.819616663977237,-.660892234295733,.5086814265919339,-10.01066608735354,4.961956104935284
Tm7,-7,8.433845262689401,3.753074440603103,2.247183048501995,.0246283310784018,1.077954527809509,15.78973599756929
Tm6,-6,-4.864295516976868,4.031674827104088,-1.206519802707115,.2276171282744501,-12.76623297547763,3.037641941523893
Tm5,-5,-7.779195310374997,3.165516326079721,-2.457480710582531,.0139915324380904,-13.9834933019648,-1.574897318785195
Tm4,-4,-5.948689458422355,2.509989451554123,-2.370005760278823,.0177878081289358,-10.86817838504388,-1.029200531800833
Tm3,-3,-1.067328454714837,2.183174454594238,-.488888303208554,.6249207771260458,-5.346271757687418,3.211614848257744
Tm2,-2,-3.065579941711713,3.657215705713037,-.8382278182068633,.401902766344907,-10.2335910086035,4.102431125180076
Tp0,0,-8.326742454052171,4.546857336806319,-1.831318169287629,.0670530672617922,-17.23841907703426,.5849341689299195
Tp1,1,-9.679164445340724,3.646650737507282,-2.654261442091668,.007948221827043,-16.82646855505142,-2.531860335630026
Tp2,2,-10.14847093645813,8.843996764803812,-1.147498264228872,.2511757501027209,-27.48238607486235,7.185444201946096
Tp3,3,-10.43638284583133,6.054646572899836,-1.723698108580578,.0847623566580142,-22.30327206783387,1.43050637617122
Tp4,4,-7.946908461912887,5.785060847406306,-1.373694879194889,.1695364273234437,-19.28541937120201,3.391602447376236
Tp5,5,-14.45370983176997,6.751777774602242,-2.14072653370489,.0322960974705693,-27.68695110160836,-1.220468561931582
Tp6,6,-8.084375815770613,4.069864722927157,-1.9863991474282,.0469890212336256,-16.06116409465793,-.1075875368833001
Tp7,7,-7.567860798442232,6.01016211895127,-1.259177481182948,.2079662333688944,-19.34756209283366,4.211840495949192
Tp8,8,6.2934268892668,6.946528260384141,.9059816146085578,.36494558381703,-7.32151831867579,19.90837209720939
Tp9,9,-6.528419476269904,6.799061845724229,-.9601941597833051,.3369575056192825,-19.85433582254982,6.797496870010009
Tp10,10,-6.143509215666946,2.334793137710386,-2.631286308170143,.0085062342115986,-10.71961967693057,-1.567398754403323
Tp11,11,-5.690397379718285,1.475304055530036,-3.857101428270583,.0001147395593661,-8.581940194803035,-2.798854564633535
