parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-.3002364859239283,.2671832548735893,-1.123709964780455,.2611360876628731,-.8239060427483493,.2234330709004926
Post_avg,Post_avg,-2.086751231675796,.8151096934295358,-2.560086388981449,.0104646146449829,-3.684336874247171,-.4891655891044213
Tm10,-10,-.4142809936805252,.3284556739596955,-1.261299549757089,.207200943378627,-1.058042285159359,.2294802977983084
Tm9,-9,.4919839352006171,.2777654725481418,1.771220629717926,.0765240200014643,-.0524263871424898,1.036394257543724
Tm8,-8,-.3508693461649032,.6804216714422188,-.5156645663874905,.6060887066151336,-1.684471316492198,.9827326241623913
Tm7,-7,1.635630308245317,.6609672133721386,2.474601273943103,.0133384997590211,.3401583750741242,2.93110224141651
Tm6,-6,-1.152771471132016,.710155564283752,-1.623266125211139,.1045325276369286,-2.544650800548889,.2391078582848571
Tm5,-5,-1.152098685724747,.7652344845715675,-1.505549879093299,.1321827632463029,-2.651930715213091,.3477333437635972
Tm4,-4,-.8826913334816877,.3781507894481712,-2.334231100693413,.0195836242306839,-1.623853261525492,-.1415294054378833
Tm3,-3,-.6009773021738037,.6871622298541998,-.8745784853473647,.3818032983348122,-1.94779052422427,.7458359198766621
Tm2,-2,-.2760534844036063,1.097828207235344,-.2514541734164315,.8014629884268055,-2.427757231797055,1.875650262989843
Tp0,0,-1.4494808900696,1.883058962972418,-.7697480103233663,.4414493848191851,-5.140208638260882,2.241246858121682
Tp1,1,-3.327082407413313,1.079469406146392,-3.082146088132962,.0020551395037634,-5.44280356587308,-1.211361248953545
Tp2,2,-3.277998477303241,2.395519212920873,-1.36838747091757,.1711908239409687,-7.973129858901888,1.417132904295406
Tp3,3,-2.913073532269686,1.264221774457802,-2.304242492199632,.0212090351381944,-5.390902678678296,-.4352443858610755
Tp4,4,-2.980656233195813,1.726421929741316,-1.726493496084373,.0842586683980611,-6.364381037608931,.4030685712173048
Tp5,5,-4.790192665943087,1.738022451501113,-2.756116678358121,.0058492127540718,-8.196654075207281,-1.383731256678892
Tp6,6,-1.460877845252644,.9650143618344506,-1.513840521995526,.1300662923516552,-3.352271239012071,.4305155485067831
Tp7,7,-2.17268234794078,1.651724146628741,-1.315402667191942,.1883746096147663,-5.410002187728267,1.064637491846707
Tp8,8,3.05398679585421,3.41190701701906,.8950967246822686,.3707353846836018,-3.633228076102636,9.741201667811056
Tp9,9,-1.552924599154012,2.235788696011542,-.694575744981759,.4873212169780454,-5.934989920378404,2.82914072207038
Tp10,10,-2.170032577421585,1.075908440317333,-2.016930526896459,.0437027638388895,-4.27877437110622,-.061290783736951
Tp11,11,-2,.7071067811865476,-2.82842712474619,.0046777349810473,-3.385903824349678,-.6140961756503223
