parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-.7656299178032081,.3350086412255611,-2.285403489898967,.0222891795691184,-1.422234789115008,-.1090250464914081
Post_avg,Post_avg,-.0997501342506941,1.228811818706631,-.0811760863072466,.9353019171033405,-2.508177042692854,2.308676774191465
Tm10,-10,-.7635767335425877,.21307585029121,-3.583591160138561,.0003389024098442,-1.181197726088608,-.3459557409965677
Tm9,-9,.7857546196912858,.1812467845927465,4.335274810291622,.0000145578137806,.4305174495758134,1.140991789806758
Tm8,-8,-5.359108667687547,2.022939722952381,-2.649168735421435,.0080690033647125,-9.323997667569648,-1.394219667805447
Tm7,-7,2.503841476756823,.4476454710587,5.593358223495784,2.22719102775e-08,1.626472475639305,3.381210477874342
Tm6,-6,-3.862912300369937,1.509360827424688,-2.559303401931361,.0104882160434482,-6.8212051617979,-.9046194389419733
Tm5,-5,-.6980872812731094,1.126460597708345,-.6197174430186801,.5354438296835031,-2.905909482784927,1.509734920238708
Tm4,-4,.5798860646874628,.6975987137046851,.8312602263956387,.4058266382609798,-.7873822898351879,1.947154419210114
Tm3,-3,.1132995007308896,.3528400543976991,.3211072533255692,.7481291137885753,-.578254298191754,.8048532996535331
Tm2,-2,-.1897659392221529,1.271651555711184,-.14922793777107,.8813737756545229,-2.682157189300404,2.302625310856098
Tp0,0,-1.835249709270062,1.75977126746537,-1.042891052490819,.2969987540827154,-5.28433801453059,1.613838595990465
Tp1,1,-3.536707806954358,1.029867776404028,-3.434137748540323,.0005944420291863,-5.555211557544602,-1.518204056364114
Tp2,2,-.890826082009804,3.692625921320861,-.2412446050563263,.8093655417451416,-8.128239896177725,6.346587732158118
Tp3,3,-1.799761009730592,1.534345591237311,-1.172982814307986,.2408026974874279,-4.807023108393539,1.207501088932353
Tp4,4,4.595188096452149,3.381361456205544,1.358975713175817,.1741542848433697,-2.032158576422628,11.22253476932693
Tp5,5,2.179647418609322,4.309499377473984,.5057774065364697,.613012921033159,-6.266816152637469,10.62611098985611
Tp6,6,-.3976989561566315,.9826198573813546,-.4047332782552191,.6856735778806821,-2.32359848711797,1.528200574804708
Tp7,7,1.057880075368249,3.347683803881295,.3160035825790196,.7519997888646184,-5.503459611867139,7.619219762603637
Tp8,8,4.84786532577729,3.369742875610513,1.438645470805834,.1502509962425697,-1.756709347579749,11.45243999913433
Tp9,9,-1.247306385672307,2.698397593806584,-.4622396597651692,.6439094653710591,-6.536068485502753,4.04145571415814
Tp10,10,-2.170032577421585,1.075908440317333,-2.016930526896459,.0437027638388895,-4.27877437110622,-.061290783736951
Tp11,11,-2,.7071067811865476,-2.82842712474619,.0046777349810473,-3.385903824349678,-.6140961756503223
