parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-1.681302379010007,.6327392233943498,-2.657180583796602,.0078797221752078,-2.921448468468776,-.4411562895512378
Post_avg,Post_avg,-.0907002167379907,1.102222638084763,-.0822884720419031,.9344173213084344,-2.251016890328853,2.069616456852872
Tm12,-12,-7.680927304361063,.6771184948151869,-11.34354970832321,7.98389366570e-30,-9.0080551674648,-6.353799441257325
Tm11,-11,-2.340463652180532,.6921126380008672,-3.381622475412158,.0007205910216886,-3.696979495907239,-.983947808453824
Tm10,-10,-.8306049089454186,.8951784327306604,-.9278651926540877,.3534775017971797,-2.585122396834524,.9239125789436873
Tm9,-9,-.5035112607908875,1.210894834907153,-.4158174981640705,.677543553602419,-2.876821526274481,1.869799004692706
Tm8,-8,-1.372336992478559,2.080451348932238,-.6596342631049227,.5094885611294925,-5.449946707973519,2.7052727230164
Tm7,-7,-1.2672765411161,1.638565332753102,-.7734061717190334,.4392820385791475,-4.478805579628069,1.944252497395868
Tm6,-6,-1.825478815698072,.7334093854264525,-2.489031163184009,.0128091737512769,-3.262934797057574,-.3880228343385703
Tm5,-5,-1.910025384646865,.9193215688297715,-2.077646657500038,.0377419154693648,-3.711862549764078,-.1081882195296531
Tm4,-4,-.8069964738597371,.8494268245850974,-.9500482566628555,.342087733094545,-2.47184245754875,.857849509829276
Tm3,-3,.0731555007956918,1.538056110760789,.04756360986044,.9620640343120931,-2.941379082497202,3.087690084088586
Tm2,-2,-.0298603358285364,1.020404899709603,-.0292632227040799,.9766546583628247,-2.029817188907564,1.970096517250491
Tp0,0,-2.195214215924442,1.278569140506918,-1.71693039224621,.0859918910263883,-4.701163683062333,.3107352512134489
Tp1,1,-2.776917833926154,1.011751477624329,-2.744663976618619,.0060572884607716,-4.75991429137502,-.7939213764772879
Tp2,2,-.7719572494269776,3.122006012214799,-.2472632167928912,.8047045238078421,-6.890976592885498,5.347062094031544
Tp3,3,-1.060179235536877,1.634917393541909,-.648460429697973,.516687196288249,-4.264558444577117,2.144199973503364
Tp4,4,3.782208361976892,3.000775518579396,1.260410296791356,.2075213890801338,-2.099203580128227,9.663620304082011
Tp5,5,1.647936298718178,3.691015757023178,.4464723011768571,.6552561164306834,-5.586321651417093,8.882194248853448
Tp6,6,-.6713961284047701,1.203280399832671,-.5579714657515698,.5768638690676122,-3.02978237537976,1.68699011857022
Tp7,7,1.372191051858617,3.293924716737554,.4165823963389469,.6769838876179994,-5.083782760733287,7.828164864450521
Tp8,8,4.844297648047853,3.370267386718227,1.437363001861093,.1506148758233256,-1.761305048189799,11.4499003442855
Tp9,9,-1.089338720816622,2.661675573894446,-.4092680308226858,.6823429738188495,-6.306126984179715,4.12744954254647
Tp10,10,-2.170032577421585,1.075908440317333,-2.016930526896459,.0437027638388895,-4.27877437110622,-.061290783736951
Tp11,11,-2,.7071067811865476,-2.82842712474619,.0046777349810473,-3.385903824349678,-.6140961756503223
