parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-.4153766464914077,.3489279117299841,-1.190436856805094,.2338747340400382,-1.099262786682947,.2685094937001322
Post_avg,Post_avg,-.3677394230674673,.904048448881243,-.4067695968313906,.6841772186973624,-2.139641823154003,1.404162977019069
Tm14,-14,.3951631243519127,1.163512795782797,.339629375615119,.7341356532157717,-1.885280050933876,2.675606299637701
Tm13,-13,-1.073780920608436,.3376856211360432,-3.17982423117697,.0014736440827047,-1.735632576132118,-.4119292650847539
Tm12,-12,-1.441574609597047,.4539049740495881,-3.175939220792848,.0014935223924163,-2.331212011137827,-.5519372080562662
Tm11,-11,-1.380551203015246,.6146511151202824,-2.246072884363162,.0246993398491883,-2.585245251708383,-.1758571543221106
Tm10,-10,-.646416768463719,.6205809198472361,-1.041631716010287,.2975824583803906,-1.86273302085704,.5698994839296017
Tm9,-9,-.145165628239031,.6545216298356805,-.2217888937841141,.8244782256354108,-1.428004449819422,1.13767319334136
Tm8,-8,.7778048401933713,.7774476738927926,1.000459408796981,.3170882319734808,-.7459646005009428,2.301574280887685
Tm7,-7,.6835930334342947,.6999468891392041,.9766355762720491,.3287495997865645,-.6882776603693951,2.055463727237985
Tm6,-6,-.992835093314177,.5642097526330102,-1.759691477647969,.078460131583847,-2.09866588820113,.1129957015727758
Tm5,-5,-.3980007116136839,.446674595108535,-.891030553275536,.3729127793320418,-1.273466830835423,.4774654076080555
Tm4,-4,-.4732164540644356,.3633300429699707,-1.302442402495042,.192765195393767,-1.185330252786968,.2388973446580971
Tm3,-3,-.2969783514635232,.5786542979893068,-.5132224067037193,.6077957539585822,-1.431119935021873,.8371632320948263
Tm2,-2,-.4079376619885791,.8320701594402624,-.4902683473987346,.6239440220622769,-2.038765207101994,1.222889883124836
Tp0,0,.3239040224400773,.8800625940542842,.3680465737646135,.7128385069124787,-1.400986966047213,2.048795010927368
Tp1,1,-.256301868593196,.5874214283344773,-.4363168523148562,.6626068564886634,-1.407626711875848,.8950229746894557
Tp2,2,-.3096956687608673,.5779689307157849,-.5358344580517937,.5920729651563243,-1.442493957146932,.8231026196251967
Tp3,3,.8504492987434233,1.082205585289687,.7858481884620598,.43195643142412,-1.270634672292452,2.971533269779298
Tp4,4,-.4084416846453172,1.111104380614028,-.3675997428968829,.7131717065602906,-2.586166253713497,1.769282884422863
Tp5,5,-.1676988461311091,1.109042072721596,-.1512105358812719,.8798096394288558,-2.341381366005088,2.00598367374287
Tp6,6,-.3430420047978232,.9213420929302388,-.372328592636869,.709648212636101,-2.148839324381847,1.4627553147862
Tp7,7,.6198875153049607,.8785877193673628,.7055499429827198,.4804680630275366,-1.102112771914254,2.341887802524176
Tp8,8,1.72572008790921,1.86666373185356,.9244943577468043,.3552289877660295,-1.9328735977709,5.384313773589319
Tp9,9,-.4563455187009796,1.478251224432842,-.3087063356744825,.7575449239130496,-3.353664678691585,2.440973641289626
Tp10,10,-1.061451767840747,1.197541267841538,-.886359239839742,.375423976072158,-3.408589522810597,1.285685987129103
Tp11,11,.2360142958541642,.960148263364513,.2458102616643105,.8058291130883948,-1.64584172015896,2.117870311867288
Tp12,12,-2.884127523253913,1.010412468557532,-2.854406109389469,.0043117374591018,-4.864499571156884,-.9037554753509411
Tp13,13,-3.017222260472426,2.326424552894823,-1.296935358044613,.1946534294063215,-7.576930596895977,1.542486075951125
