parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-2.519725251136487,1.460834875676799,-1.724852885901364,.0845539880697734,-5.382908994823062,.3434584925500865
Post_avg,Post_avg,-2.215019683999059,.8452782401565981,-2.620462208501546,.0087810662092604,-3.87173459162139,-.5583047763767288
Tm12,-12,-7.049273307337828,1.96917081637771,-3.579818088257559,.0003438334819368,-10.90877718684547,-3.189769427830181
Tm11,-11,-2.024636653668914,.631032017595581,-3.208453132668893,.0013345105757193,-3.261436681247898,-.7878366260899294
Tm10,-10,-7.970999456407898,6.772402557408291,-1.176982524124835,.2392024815560327,-21.2446645577351,5.302665644919306
Tm9,-9,6.295864282919813,4.468486293045247,1.408947878550886,.1588505806731655,-2.462207916859765,15.05393648269939
Tm8,-8,2.290364154692634,2.930773996341149,.7814878109168368,.4345156429704966,-3.453847324962541,8.034575634347808
Tm7,-7,1.258653479886722,2.336110749596454,.5387815967646846,.5900375634387831,-3.320039453219196,5.837346412992639
Tm6,-6,-2.264038056930283,2.734375368836343,-.8279909491335786,.4076756256654404,-7.623315300062941,3.095239186202376
Tm5,-5,-.7793215634054081,1.637216018598048,-.4760041158604979,.6340714456602541,-3.98820599476964,2.429562867958824
Tm4,-4,-16.93199104089685,11.80980749951818,-1.433722864795861,.15165136458735,-40.07878840430351,6.214806322509808
Tm3,-3,-2.813985190692228,3.177621728625082,-.8855633020579213,.3758528941646535,-9.042009335289297,3.414038953904841
Tm2,-2,2.272385589338886,2.170547994168821,1.046917919089396,.2951374365800232,-1.981810305947659,6.52658148462543
Tp0,0,-3.147616536818177,2.88781345416011,-1.089965327325351,.2757284177190352,-8.807626901042202,2.512393827405849
Tp1,1,-3.898878255431448,2.044330536773346,-1.907166275364264,.0564990591388205,-7.905692480002643,.1079359691397466
Tp2,2,-6.398491167452851,3.251219909957776,-1.968027800228361,.0490648391093404,-12.77076509678965,-.026217238116053
Tp3,3,.3895417252148861,2.940081702296715,.1324935034664466,.8945939612087518,-5.372912522891888,6.15199597332166
Tp4,4,-2.618372762276298,1.662707548355407,-1.574764464662558,.1153108216236821,-5.877219673875787,.64047414932319
Tp5,5,-3.679872400458049,1.505316199426251,-2.444584335078987,.0145019171184583,-6.630237936678214,-.7295068642378837
Tp6,6,-1.060790216257306,.7295634261460511,-1.454006846068167,.1459444081566603,-2.490708255941214,.3691278234266013
Tp7,7,.5031932419469698,1.747897489630343,.2878848702124909,.7734348686940642,-2.922622886396474,3.929009370290413
Tp8,8,.9468607167316964,3.505031465070078,.2701432857786814,.7870500223586712,-5.922874719485316,7.816596152948708
Tp9,9,-2.917122144822307,2.499640412869415,-1.167016715605767,.2432036191736161,-7.816327328347191,1.982083038702577
Tp10,10,-2.698688408365827,.7336765503484666,-3.678308114228347,.0002347862290728,-4.136668023350409,-1.260708793381245
Tp11,11,-2,.7071067811865476,-2.82842712474619,.0046777349810473,-3.385903824349678,-.6140961756503223
