parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,.2016955266955267,.7641078981358045,.2639621016712478,.7918091217868275,-1.29592843395325,1.699319487344304
Post_avg,Post_avg,-.592281746031746,.9034081114235535,-.6556081781227896,.5120762622012687,-2.362929107763259,1.178365615699767
Tm12,-12,-2,2.23606797749979,-.8944271909999159,.3710933695226976,-6.382612702882907,2.382612702882907
Tm11,-11,.5,1.274754878398196,.3922322702763681,.6948866023724735,-1.9984736507772,2.9984736507772
Tm10,-10,.5,1.19895788082818,.4170288281141495,.6766573217164245,-1.849914265403698,2.849914265403698
Tm9,-9,1.25,1.159950908922921,1.07763181216065,.2811980995641791,-1.023462005323425,3.523462005323425
Tm8,-8,1.933333333333333,1.701937893283005,1.135959978894395,.2559733141701039,-1.40240364142533,5.269070308091996
Tm7,-7,1.525,.7138145767634617,2.136409159525111,.0326460781226194,.1259491379039135,2.924050862096087
Tm6,-6,-.786111111111111,.5340921412031117,-1.471864216800296,.1410575482026879,-1.832912472295091,.2606902500728687
Tm5,-5,-.75,.7004573021239521,-1.070729076170414,.28429126504144,-2.122871084871037,.6228710848710375
Tm4,-4,.3214285714285715,.5954060137298054,.5398477073065564,.5893020632740711,-.845545771660408,1.488402914517551
Tm3,-3,-.3020833333333333,.6268657048995157,-.4818948157033988,.6298806691256282,-1.530717538079698,.9265508714130311
Tm2,-2,.0270833333333333,1.1963172142143,.022638923031063,.9819382956867866,-2.317655320611983,2.371821987278649
Tp0,0,.4266666666666666,.9835716472048108,.4337931739687704,.6644386389188404,-1.501098338069499,2.354431671402832
Tp1,1,-.9983333333333331,.6833157958454141,-1.461013106097119,.1440118447318035,-2.337607683257669,.3409410165910027
Tp2,2,-1.359523809523809,.6706676688323814,-2.027119947336529,.0426501473602549,-2.674008286030713,-.0450393330169059
Tp3,3,-.2833333333333333,.9140994868268604,-.309958967723389,.7565921596603313,-2.074935405800525,1.508268739133859
Tp4,4,-.6333333333333334,1.190879614184394,-.5318197790858055,.5948508224044521,-2.967414487057699,1.700747820391033
Tp5,5,-1.276190476190476,1.12425776064196,-1.135140464106524,.2563164697553753,-3.479695196388371,.9273142440074185
Tp6,6,-.2833333333333334,1.094973786258188,-.2587580971244595,.7958218905978554,-2.429442518414842,1.862775851748175
Tp7,7,.0499999999999999,1.076639576542576,.0464407969847862,.9629589202829116,-2.060174794353904,2.160174794353904
Tp8,8,2.625,2.253469547164993,1.164870412072981,.2440714518037921,-1.791719152701171,7.041719152701171
Tp9,9,-.875,1.940521837032503,-.4509096384805816,.6520546764931106,-4.67835291179721,2.92835291179721
Tp10,10,-2.5,1.457737973711325,-1.714985851425088,.0863478209836625,-5.357113927370593,.3571139273705932
Tp11,11,-2,.7071067811865476,-2.82842712474619,.0046777349810473,-3.385903824349678,-.6140961756503223
