parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,.5498072331398132,.0855855216169039,6.424068262396634,1.32679657800e-10,.3820626931726074,.7175517731070189
Post_avg,Post_avg,1.378963833408489,.2340469427252122,5.891825876262314,3.81951532915e-09,.9202402549753645,1.837687411841614
Tm4,-4,.7549311239918055,.0916520718755853,8.236923710972945,1.76695072846e-16,.5752963640071819,.9345658839764291
Tm3,-3,-.1631189138167449,.1287560022008884,-1.266883959026956,.2051967852259131,-.415476040923846,.0892382132903563
Tm2,-2,1.057609489244379,.3164960676468138,3.341619683011648,.0008329109937631,.4372885954080715,1.677930383080687
Tp0,0,.6685076972090104,.6053172293303907,1.104392316651092,.2694229922893237,-.5178922715001276,1.854907665918148
Tp1,1,2.370004800389232,.5211288775580086,4.547828574564877,5.42022565869e-06,1.348610969071752,3.391398631706713
Tp2,2,-.043310451705939,.3992450422537481,-.1084808754579655,.9136142501543527,-.8258163555294574,.7391954521175793
Tp3,3,1.533053250464173,.3155076520528103,4.859004973380386,1.17977170469e-06,.9146696155938705,2.151436885334476
Tp4,4,1.37903968072451,.7709038931579275,1.788860703602647,.0736372517783388,-.1319041854067418,2.889983546855762
Tp5,5,2.366488023369948,.3378596107167574,7.004353134574227,2.48129549095e-12,1.70429535453438,3.028680692205515
