parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-1.284419561466289,.3702849222243828,-3.468733087349327,.0005229186949215,-2.010164673044294,-.5586744498882835
Post_avg,Post_avg,-3.247842852166107,1.309842055309167,-2.479568310546805,.0131541530859972,-5.815086106007996,-.6805995983242181
Tm6,-6,.8540337020931156,2.84471058037867,.3002181339584402,.7640107737997279,-4.721496581889111,6.429563986075342
Tm5,-5,-1.427016851046558,.0081417278162398,-175.2719918000903,0,-1.442974344338316,-1.4110593577548
Tm4,-4,-2.854801784086312,1.44535456733343,-1.975156718363721,.0482503659203442,-5.687644680950307,-.0219588872223184
Tm3,-3,-.9350890720877612,1.801720916849599,-.5189977334130149,.6037623218497872,-4.466397179305461,2.596219035129939
Tm2,-2,-2.059223802203928,1.647349389104086,-1.250022500280794,.2112913281378798,-5.287969274801997,1.16952167039414
Tp0,0,-5.031966154544212,2.861465964498051,-1.758527348210798,.0786578224690088,-10.64033638794756,.5764040788591362
Tp1,1,-5.018982410857851,1.888204620099342,-2.658071247910511,.0078589276763588,-8.719795461694696,-1.318169360021006
Tp2,2,-2.326786132201148,.7896180119651238,-2.946723728363885,.0032115999796809,-3.874408997196908,-.7791632672053885
Tp3,3,-2.637852223240987,.7153600797827945,-3.687446780706467,.0002265154478166,-4.039932215592963,-1.23577223088901
Tp4,4,-5.893222172497096,2.449298366128728,-2.406085862790048,.0161244744415483,-10.6937587575022,-1.092685587491991
Tp5,5,-7.194328807417714,2.922031422505936,-2.46209837170329,.0138126776125762,-12.92140515722369,-1.467252457611738
Tp6,6,-.75,1.082531754730548,-.6928203230275508,.4884223166225936,-2.871723251392822,1.371723251392822
Tp7,7,-1.301106634920618,1.078480977458025,-1.206425205558396,.227653582159231,-3.4148905087499,.8126772389086649
Tp8,8,-.6599348451568297,2.797930587671167,-.2358653384986654,.8135371653357936,-6.143778028235304,4.823908337921645
Tp9,9,-3.989902267735246,2.782682319133657,-1.433833190479838,.1516198709452799,-9.443859393653605,1.464054858183113
Tp10,10,-2.170032577421585,1.075908440317333,-2.016930526896459,.0437027638388895,-4.27877437110622,-.061290783736951
Tp11,11,-2,.7071067811865476,-2.82842712474619,.0046777349810473,-3.385903824349678,-.6140961756503223
