parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-18.04730587359274,6.195862447444888,-2.912799634703846,.0035820435975314,-30.19097312374892,-5.903638623436571
Post_avg,Post_avg,-7.7678009854675,6.922430322537627,-1.122120501549516,.2618112080403664,-21.33551510312924,5.799913132194237
Tm10,-10,-16.93698518428197,4.33312046847299,-3.908727049596809,.0000927837213785,-25.42974524316236,-8.444225125401585
Tm9,-9,-16.91708774740715,1.929030838648117,-8.76973421496092,1.79088519670e-18,-20.69791871622455,-13.13625677858974
Tm8,-8,-27.04179733009839,1.601886521114208,-16.88121909614996,6.18542053420e-64,-30.1814372188024,-23.90215744139438
Tm7,-7,-24.58583562138413,9.78642391845427,-2.51223897781728,.0119967817430896,-43.76687403899585,-5.404797203772414
Tm6,-6,-24.38318875267981,16.81249183268377,-1.450301894290201,.1469743510603084,-57.3350672351138,8.568689729754183
Tm5,-5,-23.06849189818562,14.1325043382347,-1.632300358527052,.1026162277595814,-50.76769141248169,4.630707616110456
Tm4,-4,-15.8481899732408,11.59716608504597,-1.366557127579326,.1717641630580118,-38.57821782266027,6.881837876178679
Tm3,-3,-1.304031283267493,10.84824503642307,-.120206658209618,.9043194435349889,-22.56620085012211,19.95813828358713
Tm2,-2,-12.34014507178933,8.572368901761459,-1.439525668249493,.1500016428110354,-29.14167938143297,4.461389237854302
Tp0,0,-10.46664147688842,10.56013819726867,-.9911462597710665,.3216141672648806,-31.16413201530074,10.23084906152391
Tp1,1,-20.62697643591357,6.855728238092569,-3.008721425289824,.0026234954944715,-34.06395687036924,-7.189996001457896
Tp2,2,-26.87431064746047,17.45996131808664,-1.53919645970931,.1237563416636255,-61.09520600237278,7.346584707451839
Tp3,3,-18.37762853389922,15.37364272854857,-1.195398439939827,.2319313949118828,-48.5094145930405,11.75415752524206
Tp4,4,-21.23106636036152,18.79484081384267,-1.129622036741303,.2586355212869231,-58.06827745065664,15.60614472993359
Tp5,5,-9.000974269154142,15.98715688029286,-.5630128193868865,.5734261546929688,-40.33522596971986,22.33327743141158
Tp6,6,-3.089397408751835,19.7158655503765,-.1566960071247209,.8754844340600229,-41.73178381152375,35.55298899402008
Tp7,7,-.1791363038629925,16.56319837460742,-.0108153207980423,.9913707907435483,-32.64240858688589,32.28413597915991
Tp8,8,15.23861734111726,7.692924619102165,1.980861388304588,.0476068201862549,.1607621518955025,30.31647253033901
Tp9,9,-8.70951778135422,7.39631594768868,-1.177548098668758,.2389768115115828,-23.20603065710327,5.786995094394829
Tp10,10,5.85178348935321,6.06835200563663,.9643118072118659,.3348896230286276,-6.041967887205987,17.7455348659124
Tp11,11,4.251636561565917,.5496021780720705,7.735843726966437,1.02719574729e-14,3.17443608671989,5.328837036411944
