parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-2.783181492786947,1.112122163361368,-2.502586122710508,.0123289625240967,-4.962900879383998,-.6034621061898959
Post_avg,Post_avg,-1.930499135254186,1.268534932517948,-1.521833641129841,.1280507698284317,-4.416781916120312,.5557836456119396
Tm10,-10,-2.822229944558274,.8260869759479486,-3.416383536757396,.0006345880133285,-4.441330665513859,-1.203129223602689
Tm9,-9,-2.768693253098959,.3706271343859447,-7.470292906875618,8.00165078867e-14,-3.495109088188697,-2.042277418009221
Tm8,-8,-4.679716856463127,.3649887751392903,-12.82153637376166,1.24214550173e-37,-5.395081710497524,-3.96435200242873
Tm7,-7,-4.098248294761244,1.742093400205315,-2.352484829044323,.0186484504671875,-7.512688616868584,-.6838079726539035
Tm6,-6,-5.009257514894398,3.179650639136998,-1.575411289918939,.1151615401009248,-11.24125825102268,1.222743221233881
Tm5,-5,-3.264397178937822,2.622294407776843,-1.244862960183539,.2131821281543987,-8.403999775041223,1.87520541716558
Tm4,-4,-1.412949362061676,2.312028492943704,-.6111297358029925,.541113695365992,-5.944441939461754,3.118543215338401
Tm3,-3,.6251544421711052,2.385530287211738,.2620609956295294,.7932744171186519,-4.050399004793391,5.300707889135602
Tm2,-2,-1.618295472478126,1.830968921725105,-.8838464996737342,.3767790810186613,-5.206928615871469,1.970337670915217
Tp0,0,-2.685099101625925,2.495896293998855,-1.075805556537742,.2820142267019174,-7.576965947010674,2.206767743758824
Tp1,1,-5.400489214023092,1.463032220247416,-3.691298892316811,.0002231117677169,-8.2679796739297,-2.532998754116484
Tp2,2,-9.316355488810531,5.348598578847467,-1.741831126690769,.0815379983622151,-19.79941607111368,1.166705093492618
Tp3,3,-6.115500414517676,3.27479107886964,-1.867447500384838,.0618391217647189,-12.53397298599524,.3029721569598847
Tp4,4,-6.24278021541679,3.559824699124449,-1.753676302361805,.0794859883551754,-13.21990841697684,.7343479861432627
Tp5,5,-3.772960347223999,3.938967825388706,-.9578550814518714,.3381358395220155,-11.49319542124792,3.947274726799919
Tp6,6,-.1861307256374377,4.879651103055666,-.0381442692738588,.9695726551985989,-9.750071144747691,9.377809693472814
Tp7,7,1.496877744924591,3.341719151089486,.4479364294981433,.6541990762008445,-5.052771437658564,8.046526927507745
Tp8,8,8.37304399510573,5.746495249647146,1.457069680101078,.1450971468226509,-2.889879731533181,19.63596772174464
Tp9,9,-1.636465546138766,1.062225700591002,-1.540600594796631,.1234140230853537,-3.718389662749956,.4454585704724252
Tp10,10,1.819869690313659,1.706773878816323,1.066262914438186,.2863048089053798,-1.525345641920064,5.165085022547382
Tp11,11,.5,.3535533905932738,1.414213562373095,.1572992070502852,-.1929519121748389,1.192951912174839
