parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-2.709865869349136,.7008655671380827,-3.866455988720651,.0001104283811611,-4.083537138944017,-1.336194599754254
Post_avg,Post_avg,2.058587497338926,2.388726104050121,.861793025934853,.3888014233536774,-2.623229635529988,6.740404630207841
Tm10,-10,-3.845998922728268,.2065180803308218,-18.62306155745469,2.08921078860e-77,-4.250766922333029,-3.441230923123508
Tm9,-9,-3.221016334904141,.065904610441838,-48.87391509197596,0,-3.350186997785286,-3.091845672022997
Tm8,-8,1.54982617181065,.2735680494026833,5.665230918576152,1.46826667857e-08,1.013642647660516,2.086009695960783
Tm7,-7,-.6087473001143633,.1470947590121027,-4.138470358854026,.0000349629031402,-.8970477300926831,-.3204468701360434
Tm6,-6,-9.876019899349924,1.247528222406338,-7.916470122255209,2.44348421313e-15,-12.32113028496362,-7.430909513736228
Tm5,-5,-5.271030469563679,1.934564116481631,-2.724660518954544,.0064367632902133,-9.062706463651224,-1.479354475476133
Tm4,-4,-2.895834112276726,3.820511599600783,-.7579702447649475,.4484687959909903,-10.38389925001177,4.592231025458318
Tm3,-3,.927879951154985,1.020164304935643,.9095397149908316,.3630653039255357,-1.071605344832213,2.927365247142183
Tm2,-2,-1.147851908170747,2.480899500930677,-.4626756979636398,.6435968401990397,-6.010325579258267,3.714621762916773
Tp0,0,-3.140662135127847,2.989477849085459,-1.050572137903159,.2934551431909581,-8.999931051915613,2.718606781659919
Tp1,1,-6.599820526465469,2.418132187736704,-2.729305105790223,.0063467952496607,-11.33927252428646,-1.860368528644481
Tp2,2,-6.109012619789526,5.056275845247089,-1.208203983873232,.2269688097662378,-16.01913117237364,3.801105932794586
Tp3,3,4.187863357073019,5.437191607961564,.7702254507530726,.4411661692720235,-6.46883637157507,14.84456308572111
Tp4,4,2.775288185792693,8.620928678564901,.321924503643462,.7475098893268119,-14.12142153748299,19.67199790906838
Tp5,5,.4792539045062431,6.008095550129235,.0797680230794489,.9364217571418201,-11.29639698942242,12.2549047984349
Tp6,6,6.714990607863424,5.153930602668964,1.302887276826363,.1926132482606942,-3.386527752186561,16.81650896791341
Tp7,7,18.06108322797116,11.44615174351615,1.577917507358064,.1145845623981669,-4.372961950900827,40.49512840684315
Tp8,8,10.56870825716029,5.339805824960872,1.979230819172668,.0477900245145419,.1028811557997926,21.03453535852079
Tp9,9,-4.554511981230537,3.66460810612998,-1.24283739197432,.2139277605026467,-11.73701188669883,2.627987924237759
Tp10,10,1.819869690313659,1.706773878816323,1.066262914438186,.2863048089053798,-1.525345641920064,5.165085022547382
Tp11,11,.5,.3535533905932738,1.414213562373095,.1572992070502852,-.1929519121748389,1.192951912174839
