parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-2.765680901683993,1.569862778079368,-1.761734172121487,.0781142213774496,-5.84255540738955,.3111936040215637
Post_avg,Post_avg,1.794674473323675,2.21944576768367,.808613798748816,.4187373251822279,-2.55535929697617,6.14470824362352
Tm12,-12,-5.393642434787019,1.75777085750925,-3.068455943358723,.0021516805257552,-8.838810008579236,-1.948474860994801
Tm11,-11,-2,2.121320343559642,-.9428090415820635,.3457785861511602,-6.157711473049033,2.157711473049033
Tm10,-10,-2.918061575946566,1.873441996841124,-1.557593766375907,.1193295773251761,-6.589940416879971,.7538172649868389
Tm9,-9,.0552732965829609,3.349391768337491,.0165024877368694,.9868335174319367,-6.509413939473445,6.619960532639366
Tm8,-8,-3.359528588503384,2.068209883901027,-1.624365406361317,.1042978455786758,-7.413145473419163,.6940882964123949
Tm7,-7,-1.41128518172649,2.267781324850767,-.6223197828914833,.5337316154494913,-5.856054903246521,3.033484539793542
Tm6,-6,-6.567549402702994,3.118955331365554,-2.105688830056942,.0352313907337337,-12.68058952156867,-.4545092838373197
Tm5,-5,-4.041398020428855,3.219324780355461,-1.255355795441871,.2093496287793556,-10.35115864446288,2.268362603605167
Tm4,-4,-3.43382212593224,2.471866098048873,-1.389161867887047,.1647835341739445,-8.278590652713586,1.410946400849105
Tm3,-3,.2761877278620204,2.429246165322595,.1136927709528127,.9094813433069524,-4.485047265752299,5.03742272147634
Tm2,-2,-1.62866361294136,2.365077668447644,-.6886300753118012,.4910560897501218,-6.264130663738705,3.006803437855984
Tp0,0,-3.233845377287474,2.315677097830934,-1.39650099762034,.1625636803968439,-7.772489088860339,1.304798334285391
Tp1,1,-5.703329382225254,1.881878296084599,-3.030657930479083,.0024402153229239,-9.391743065838671,-2.014915698611836
Tp2,2,-7.043274420426306,4.051416327456988,-1.738472141876187,.08212765465612,-14.98390450861954,.8973556677669237
Tp3,3,1.7006544041315,5.063407328423919,.3358715374496368,.7369677412948155,-8.223441598635553,11.62475040689855
Tp4,4,1.983617825767628,7.452190943018136,.2661791466341928,.7901012424440633,-12.6224080284635,16.58964367999875
Tp5,5,1.611581829543652,5.041683486915995,.3196515278529433,.7492325084396183,-8.269936226262015,11.49309988534932
Tp6,6,5.926060596858698,5.651207338586463,1.048636201399927,.2943455876018136,-5.15010225593922,17.00222344965661
Tp7,7,17.61920538160659,11.54337501869893,1.526347827482475,.1269232634515353,-5.005393915082692,40.24380467829587
Tp8,8,10.58251642660511,5.337786461013223,1.98256646343929,.047415876525251,.1206472058536807,21.04438564735653
Tp9,9,-4.226963295003697,3.610770564218214,-1.17065408056989,.241737849815349,-11.30394355730877,2.850016967301372
Tp10,10,1.819869690313659,1.706773878816323,1.066262914438186,.2863048089053798,-1.525345641920064,5.165085022547382
Tp11,11,.5,.3535533905932738,1.414213562373095,.1572992070502852,-.1929519121748389,1.192951912174839
