parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-.6829759096866888,.8973106653893602,-.7611365116119873,.4465755344088192,-2.441672496793506,1.075720677420129
Post_avg,Post_avg,-1.813988666020628,1.297247564580221,-1.398336536178135,.162012031170104,-4.356547171630158,.7285698395889031
Tm14,-14,.3988373849761126,.7006563205431728,.5692339786029763,.5691973644454367,-.9744237688288575,1.772098538781083
Tm13,-13,-2.289341291310034,.798964310921539,-2.865386175597092,.0041650097600013,-3.855282565649112,-.7234000169709562
Tm12,-12,.390872038384537,1.027306611305661,.3804823546183122,.7035873924027798,-1.622611920854446,2.40435599762352
Tm11,-11,-2.368040563395819,1.35729546033641,-1.74467581495402,.0810413154742471,-5.028290782034896,.292209655243258
Tm10,-10,.1768819143121836,1.353466774499535,.1306880358238482,.8960220971960142,-2.475864217978501,2.829628046602868
Tm9,-9,.6340244633077811,2.306592410492123,.2748749455793574,.7834123164980129,-3.886813588270207,5.154862514885769
Tm8,-8,.6608266242622084,1.647344875062718,.4011464959558326,.6883122701111777,-2.567910000977355,3.889563249501771
Tm7,-7,1.035651980575763,1.118813753361055,.9256696902987973,.3546176640251573,-1.157182681419984,3.22848664257151
Tm6,-6,-1.708328718892601,1.600494753663406,-1.067375394378752,.2858023549104837,-4.845240793518181,1.428583355732979
Tm5,-5,-2.495216670303253,.9365177316706148,-2.664356035044997,.0077135875222036,-4.330757695260805,-.6596756453457022
Tm4,-4,-.6593589242135088,.9828628402894654,-.670855481746893,.5023125989084087,-2.585734692923604,1.267016844496586
Tm3,-3,-1.135426297004837,1.584509183845704,-.7165791833715254,.4736337927750454,-4.241007230515372,1.970154636505698
Tm2,-2,-1.520068766625487,1.895655255651115,-.8018698347677027,.4226282569936747,-5.235484794805742,2.195347261554767
Tp0,0,.6769849327307443,.8248349758518257,.8207519716675529,.4117875608184196,-.9396619131277991,2.293631778589288
Tp1,1,-1.531042349061297,1.033870594817427,-1.480883929513119,.1386375061242216,-3.557391479578457,.4953067814558632
Tp2,2,-1.611591197593623,1.640947485633625,-.9821101599551395,.3260455806854908,-4.827789169957084,1.604606774769838
Tp3,3,-.9065490226035662,1.837493843231325,-.4933616653699119,.6217570638443908,-4.50797077715105,2.694872731943918
Tp4,4,-1.365644404132165,3.180222871023024,-.4294178299814757,.6676191804846687,-7.59876669414786,4.867477885883529
Tp5,5,-1.716588897773249,1.646259546378311,-1.042720694649673,.2970776703809805,-4.943198317879984,1.510020522333487
Tp6,6,-4.136427328147078,2.43633599528544,-1.697806598166874,.0895442701807845,-8.911558133145085,.6387034768509308
Tp7,7,.9150527371790222,.8833342704017609,1.035907660146408,.3002452236132832,-.8162506191183945,2.646356093476439
Tp8,8,-.9499490396830027,3.67371878711032,-.2585796830764543,.7959595607758847,-8.150305551747399,6.250407472381394
Tp9,9,-2.909814840867285,2.81007987840003,-1.035491860296883,.3004392658139753,-8.417470196212038,2.597840514477468
Tp10,10,-3.968128635987102,1.945567408808973,-2.039573965939473,.0413927772428741,-7.781370686747605,-.1548865852265986
Tp11,11,-.1481012552347647,2.832935747289899,-.0522783671943299,.958306890219934,-5.70055329043903,5.404350779969501
Tp12,12,-3.112805126649446,1.679131129334912,-1.853818961645002,.0637650647705114,-6.403841665465942,.1782314121670487
Tp13,13,-4.631236896465979,2.632930410963217,-1.758966692466328,.0785831660573169,-9.791685675754128,.5292118828221692
