parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-7.597320327948398,4.043771758699556,-1.878770806389833,.0602757948648021,-15.52296733669972,.3283266808029248
Post_avg,Post_avg,-.2607609162992676,1.063391843722211,-.2452162087180592,.8062890267178059,-2.344970631448447,1.823448798849912
Tm12,-12,-5.183091102445943,.8756744204449498,-5.918970545939092,3.23962970637e-09,-6.899381428701028,-3.466800776190857
Tm11,-11,-2,2.121320343559642,-.9428090415820635,.3457785861511602,-6.157711473049033,2.157711473049033
Tm10,-10,-20.49469288822738,15.31668814383851,-1.338062947796703,.180875917809787,-50.51485001258251,9.525464236127753
Tm9,-9,-7.254056963747458,8.918547814561459,-.8133675027120044,.4160073855310049,-24.73408947468632,10.22597554719141
Tm8,-8,-4.542193162000878,2.239387024037344,-2.028319854158953,.0425276139143074,-8.931311076560403,-.1530752474413521
Tm7,-7,2.570622485522309,2.056887496211663,1.24976329053331,.2113860296619509,-1.460802927303317,6.602047898347934
Tm6,-6,-3.703453316347707,4.854903891002342,-.7628273184174389,.4455663866286217,-13.21889009111567,5.811983458420256
Tm5,-5,-7.527311705542511,4.890498265071249,-1.539170713811274,.1237626252500576,-17.11251217153778,2.057888760452755
Tm4,-4,-22.59886212315242,17.57223212101912,-1.286055292663741,.198423765341225,-57.03980420832777,11.84207996202293
Tm3,-3,-18.60707243114837,12.0442974794736,-1.54488648780548,.1223737223704565,-42.21346171000319,4.999316847706439
Tm2,-2,5.769587599657982,7.359274193966939,.7839886716529509,.4330467574905822,-8.654324772872254,20.19349997218822
Tp0,0,-6.462372800112578,3.628159142979894,-1.781171262185836,.074884476857879,-13.57343405053288,.6486884503077217
Tp1,1,-.780016956320328,5.771697047318319,-.1351451661314663,.8924971003095943,-12.0923352987404,10.53230138609975
Tp2,2,-7.570995237298133,3.950299096993619,-1.916562531444784,.0552935319320129,-15.31343919556672,.1714487209704565
Tp3,3,2.750780585005145,5.114028593698539,.5378891679242139,.590653567102899,-7.272531274552012,12.7740924445623
Tp4,4,-5.485737102484634,3.157164870519714,-1.737551672929138,.0822898415423104,-11.67366654195834,.702192336989067
Tp5,5,.8439700892411454,3.749972169315629,.225060360753336,.8219323174418511,-6.505840305645023,8.193780484127315
Tp6,6,1.775554730948156,3.082891285078977,.5759381589424649,.5646569819953239,-4.266801156059043,7.817910617955355
Tp7,7,5.999897153287844,4.741826966689928,1.265313389846471,.205759008553276,-3.293912922345225,15.29370722892091
Tp8,8,5.556575517405648,5.687896186253258,.9769122599028808,.3286125917301312,-5.591496155453465,16.70464719026476
Tp9,9,.0379666581998311,1.691229794786158,.0224491422258982,.9820896803866681,-3.276782829162105,3.352716145561767
Tp10,10,-.2947536334633085,3.075701438691788,-.0958329796759072,.9236532239015026,-6.323017680497241,5.733510413570624
Tp11,11,.5,.3535533905932738,1.414213562373095,.1572992070502852,-.1929519121748389,1.192951912174839
