parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-1.836578282828283,1.41073851317773,-1.301855918494304,.1929656439883468,-4.601574960260217,.9284183946036519
Post_avg,Post_avg,.1239285714285714,1.168163209158788,.106088404819575,.9155122108402065,-2.165629246587383,2.413486389444526
Tm12,-12,-3.5,1.903943276465977,-1.838290060036116,.0660196750212927,-7.231660250480502,.2316602504805019
Tm11,-11,-2,2.121320343559642,-.9428090415820635,.3457785861511602,-6.157711473049033,2.157711473049033
Tm10,-10,-2,2.118044171189806,-.9442673704375605,.3450330356269662,-6.151290293197007,2.151290293197007
Tm9,-9,1.416666666666667,3.61300698095706,.392101834879766,.694982971819053,-5.664696891900962,8.498030225234295
Tm8,-8,-2.575,1.545234610018815,-1.666413619850675,.0956310599093703,-5.603604183301673,.4536041833016733
Tm7,-7,-1.025,1.304044190202157,-.7860163081138385,.4318579330702239,-3.580879647044928,1.530879647044928
Tm6,-6,-3.625,1.194621272440727,-3.03443449704673,.002409870806923,-5.966414669149236,-1.283585330850765
Tm5,-5,-4.094444444444444,1.847876984115148,-2.215755961918136,.0267082199653157,-7.716216781170628,-.4726721077182603
Tm4,-4,-1.05,1.469826290048136,-.7143701314293495,.474998336347367,-3.930806592024469,1.830806592024469
Tm3,-3,-.43125,1.896920104030844,-.227342205443244,.8201576569691755,-4.149145085450427,3.286645085450427
Tm2,-2,-1.318333333333333,1.617493771812384,-.8150469302000189,.4150454473906303,-4.488562871303454,1.851896204636787
Tp0,0,.4616666666666664,1.200869657866825,.3844436102139112,.700649682987238,-1.891994612879246,2.815327946212579
Tp1,1,-2.665,.9597154815650081,-2.77686465540202,.0054886028750335,-4.546007779272929,-.7839922207270698
Tp2,2,-3.366666666666666,1.402103867275755,-2.401153541647379,.0163434772666594,-6.114739749111474,-.6185935842218582
Tp3,3,-2.05,1.64625996580127,-1.245246827709997,.2130410342981415,-5.276610242160631,1.17661024216063
Tp4,4,-.1238095238095239,2.758561497888152,-.0448819154129091,.9642014317271721,-5.530490708809165,5.282871661190117
Tp5,5,-.6190476190476187,1.585722372011278,-.3903883996177964,.6962493645040109,-3.727006357669148,2.488911119573911
Tp6,6,.2833333333333333,1.736878052820741,.1631279368595806,.870417703975366,-3.120885095733377,3.687551762400044
Tp7,7,2.316666666666667,1.791948298278637,1.29282003777234,.1960733084112049,-1.195487460117299,5.828820793450633
Tp8,8,6.5,3.661454628969202,1.775250729197189,.0758564968654351,-.6763192038071022,13.6763192038071
Tp9,9,-.2500000000000001,2.981715110469141,-.0838443616300637,.9331801766904206,-6.094054228678384,5.594054228678384
Tp10,10,.5,1.457737973711325,.3429971702850176,.7316005889599014,-2.357113927370593,3.357113927370593
Tp11,11,.5,.3535533905932738,1.414213562373095,.1572992070502852,-.1929519121748389,1.192951912174839
