parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,-.9439638930538119,.499137295498667,-1.89119086384987,.0585988704907839,-1.922255015571925,.0343272294643017
Post_avg,Post_avg,3.007127256139418,1.678564005310135,1.791487990107244,.0732150201563907,-.2827977400137458,6.297052252292581
Tm4,-4,-3.614986043437864,.447459365716795,-8.078914691274678,6.53457181714e-16,-4.491990284787919,-2.737981802087809
Tm3,-3,-1.753833402530876,.4452863550234557,-3.938664148912651,.0000819365285332,-2.626578621183965,-.8810881838777864
Tm2,-2,2.536927766807304,.8699438920723898,2.916196998364811,.0035432669945436,.8318690697748203,4.241986463839787
Tp0,0,4.958271742803424,1.054114999474627,4.703729427315459,2.55451739319e-06,2.892244308269697,7.024299177337151
Tp1,1,2.2226214281105,1.028438201367051,2.161161871618616,.0306828375631342,.2069195931059271,4.238323263115072
Tp2,2,-2.481055318112491,1.172321223124235,-2.116361342926541,.0343140872064629,-4.778762693747936,-.1833479424770461
Tp3,3,2.303846928881264,2.015069967622031,1.143308652254897,.2529104639259852,-1.645617633986209,6.253311491748736
Tp4,4,4.771105613166975,3.200239782446642,1.490858791062018,.1359985725462526,-1.50124910232074,11.04346032865469
Tp5,5,6.267973141986834,1.775056205945619,3.531140659654616,.0004137716487528,2.788926907799108,9.74701937617456
