parameter,event_time,coef,se,z,pvalue,ci_lower,ci_upper
Pre_avg,Pre_avg,3.461525083460119,2.445860749942746,1.415258445739868,.1569927338665205,-1.332273897627789,8.255324064548027
Post_avg,Post_avg,-1.055847832806148,.8062059073807406,-1.309650330194754,.1903141537147238,-2.635982375395834,.5242867097835378
Tm6,-6,2.13508425523277,3.576242545013937,.5970188622160272,.5504947873784505,-4.874222332974409,9.14439084343995
Tm5,-5,3.281050553139672,2.852852308194914,1.150094781883641,.2501048353469207,-2.310437224134321,8.872538330413665
Tm4,-4,3.209603568172625,2.537155744073585,1.265040025891109,.2058569800586878,-1.763130313380525,8.182337449725775
Tm3,-3,9.175445360438815,1.583983381789245,5.792639913983415,6.92885600996e-09,6.070894980021936,12.27999574085569
Tm2,-2,-.4935583196832847,2.907372731446054,-.1697609372011277,.8651981485449864,-6.191904162951392,5.204787523584823
Tp0,0,-5.768555525354431,2.27329030326727,-2.53753579868951,.011163594994421,-10.22412264616242,-1.312988404546445
Tp1,1,-2.273273662344357,3.072977000035893,-.7397626673801349,.4594440153218901,-8.296197907734648,3.749650583045934
Tp2,2,-5.066110115439477,2.801598590512646,-1.808292641421005,.0705609665429078,-10.55714245198244,.4249222211034871
Tp3,3,-3.89365503852606,1.014197003767751,-3.839150602951003,.0001234606864727,-5.881444639139284,-1.905865437912836
Tp4,4,-5.142737864026388,2.516653262816543,-2.043482882608481,.0410046601583104,-10.07528762072203,-.2101881073307474
Tp5,5,-1.68674525008132,2.621984761497335,-.6433085633640647,.5200239008285278,-6.82574095062894,3.452250450466299
Tp6,6,3.35269757831195,5.380149221819227,.6231607043007404,.5331789216554881,-7.192201127904932,13.89759628452883
Tp7,7,2.818303616051058,3.660596267576033,.7699028819469559,.4413575042496004,-4.356333230339713,9.99294046244183
Tp8,8,3.170032577421585,.3688016591307853,8.595494350250252,8.29071035157e-18,2.447194608086628,3.892870546756542
Tp9,9,-.5,.3535533905932738,-1.414213562373095,.1572992070502852,-1.192951912174839,.1929519121748389
Tp10,10,1.819869690313659,1.706773878816323,1.066262914438186,.2863048089053798,-1.525345641920064,5.165085022547382
Tp11,11,.5,.3535533905932738,1.414213562373095,.1572992070502852,-.1929519121748389,1.192951912174839
