fips,year,dvmt_total,vmt_annual,road_length_total,dvmt_rural,dvmt_small_urban,dvmt_urbanized
05001,2013,600316.76,219115617.4,1683.41,416955.32,183361.44,0.0
05001,2014,621494.9,226845638.5,1683.24,428788.97,192705.93,0.0
05001,2015,622824.172,227330822.9,1682.567,434220.378,188603.794,0.0
05001,2016,650035.522,237262965.4,1682.567,455461.944,194573.578,0.0
05001,2017,628548.291,229420126.2,1677.967,440724.542,187823.749,0.0
05001,2018,627866.921,229171426.3,1677.969,434344.805,193522.116,0.0
05001,2019,639108.163,233274479.4,1677.963,450156.443,188951.72,0.0
05001,2020,635842.609,232082552.2,1677.963,450114.983,185727.626,0.0
05001,2021,637979.803,232862628.1,1677.867,449456.193,188523.611,0.0
05001,2022,646945.665,236135167.6,1677.777,456111.213,190834.452,0.0
05001,2023,682588.318,249144736.1,1677.777,480398.145,202190.173,0.0
05003,2013,620477.408,226474254.0,1274.66,465726.719,154750.689,0.0
05003,2014,620913.941,226633588.5,1274.4,466495.541,154418.401,0.0
05003,2015,622285.128,227134071.8,1274.4,470908.109,151377.02,0.0
05003,2016,601636.43,219597296.8,1272.921,456157.165,145479.264,0.0
05003,2017,583169.805,212856978.7,1272.911,443320.046,139849.759,0.0
05003,2018,606237.868,221276822.0,1272.911,462703.742,143534.127,0.0
05003,2019,610027.499,222660037.1,1272.911,465800.613,144226.886,0.0
05003,2020,561050.964,204783601.9,1272.911,436525.84,124525.125,0.0
05003,2021,586571.025,214098424.2,1272.911,448387.088,138183.937,0.0
05003,2022,568967.554,207673157.2,1272.085,439604.841,129362.713,0.0
05003,2023,585287.312,213629869.0,1272.085,452797.197,132490.116,0.0
05005,2013,864008.552,315363121.4,1712.92,483139.482,380869.07,0.0
05005,2014,876013.421,319744898.6,1712.91,494617.101,381396.32,0.0
05005,2015,898119.682,327813684.0,1713.76,505148.042,392971.64,0.0
05005,2016,923395.361,337039306.7,1713.745,525966.935,397428.426,0.0
05005,2017,930922.98,339786887.6,1713.787,530419.587,400503.392,0.0
05005,2018,940455.05,343266093.3,1715.236,533647.605,406807.445,0.0
05005,2019,973643.364,355379827.7,1715.236,552210.11,421433.254,0.0
05005,2020,961611.275,350988115.4,1714.611,550433.783,411177.492,0.0
05005,2021,983531.922,358989151.6,1714.611,562602.605,420929.317,0.0
05005,2022,982462.124,358598675.1,1714.611,562762.792,419699.331,0.0
05005,2023,1005551.573,367026324.0,1714.611,578078.918,427472.655,0.0
